group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05	Significance
sterol	Polyketide	14659479.5	0.029914264	5269	5701	0.044084179	TRUE	*
sterol	Prenol	22627778	0.263248371	5269	8687	0.325651814	FALSE	ns
sterol	saccharo lipid	7934961	0.317624036	5269	3052	0.35573892	FALSE	ns
sterol	Spingo lipid	1161792.5	0.000716034	5269	486	0.001542227	TRUE	**
sterol	Fatty Acyl	87767993	0.009504753	5269	34070	0.015654887	TRUE	*
sterol	Glycerophopspholipid	51974469.5	1.55E-84	5269	23805	1.09E-83	TRUE	***
sterol	Glycerolipid	10306604	1.48E-58	5269	4805	5.91E-58	TRUE	***
Polyketide	Prenol	25092906	0.174868296	5701	8687	0.244815615	FALSE	ns
Polyketide	saccharo lipid	8828140.5	0.254354785	5701	3052	0.325651814	FALSE	ns
Polyketide	Spingo lipid	1297705	0.020418108	5701	486	0.031761502	TRUE	*
Polyketide	Fatty Acyl	97663079.5	0.49574431	5701	34070	0.533878488	FALSE	ns
Polyketide	Glycerophopspholipid	57875414.5	6.90E-67	5701	23805	3.87E-66	TRUE	***
Polyketide	Glycerolipid	11541900.5	5.25E-44	5701	4805	1.47E-43	TRUE	***
Prenol	saccharo lipid	13294276.5	0.813884823	8687	3052	0.844028705	FALSE	ns
Prenol	Spingo lipid	1947680.5	0.004056492	8687	486	0.00709886	TRUE	**
Prenol	Fatty Acyl	146944422.5	0.311819306	8687	34070	0.35573892	FALSE	ns
Prenol	Glycerophopspholipid	86599553.5	1.34E-111	8687	23805	1.87E-110	TRUE	***
Prenol	Glycerolipid	17251785.5	1.23E-62	8687	4805	5.72E-62	TRUE	***
saccharo lipid	Spingo lipid	675079	0.001461026	3052	486	0.002922053	TRUE	**
saccharo lipid	Fatty Acyl	51361940	0.267499704	3052	34070	0.325651814	FALSE	ns
saccharo lipid	Glycerophopspholipid	30105097.5	1.05E-53	3052	23805	3.69E-53	TRUE	***
saccharo lipid	Glycerolipid	5942255	1.11E-45	3052	4805	3.46E-45	TRUE	***
Spingo lipid	Fatty Acyl	8914297.5	0.003621622	486	34070	0.006760361	TRUE	**
Spingo lipid	Glycerophopspholipid	5225133	0.000256215	486	23805	0.000597834	TRUE	***
Spingo lipid	Glycerolipid	1045469.5	0.000141066	486	4805	0.000359077	TRUE	***
Fatty Acyl	Glycerophopspholipid	340136669	1.17E-239	34070	23805	3.27E-238	TRUE	***
Fatty Acyl	Glycerolipid	67462575.5	6.47E-87	34070	4805	6.04E-86	TRUE	***
Glycerophopspholipid	Glycerolipid	57252352.5	0.907253596	23805	4805	0.907253596	FALSE	ns
