group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	14769751.5	0.1321237101315738	5269	5701	0.13701718087718764	False
sterol	Prenol	23281105.5	0.0867376593186896	5269	8687	0.09714617843693234	False
sterol	saccharo lipid	8345070.5	0.003924229387052455	5269	3052	0.005493921141873436	True
sterol	Spingo lipid	1178953.5	0.003807684754845272	5269	486	0.005493921141873436	True
sterol	Fatty Acyl	91113740.5	0.07705293646606164	5269	34070	0.09380357482824896	False
sterol	Glycerophopspholipid	53366901.0	1.732420664588816e-64	5269	23805	9.70155572169737e-64	True
sterol	Glycerolipid	10397191.0	2.8652525704925973e-54	5269	4805	1.0028383996724091e-53	True
Polyketide	Prenol	25636607.5	0.0003333762313287359	5701	8687	0.0006223022984803071	True
Polyketide	saccharo lipid	9138559.0	9.813511137310214e-05	5701	3052	0.00022898192653723835	True
Polyketide	Spingo lipid	1309280.0	0.04418551405757392	5701	486	0.05663962107633141	False
Polyketide	Fatty Acyl	100081903.0	0.0002190698512297216	5701	34070	0.0004381397024594432	True
Polyketide	Glycerophopspholipid	59444499.5	4.937245733647573e-48	5701	23805	1.5360320060236892e-47	True
Polyketide	Glycerolipid	11664333.5	2.437568058254936e-39	5701	4805	6.82519056311382e-39	True
Prenol	saccharo lipid	13514610.0	0.10882180201863594	8687	3052	0.11719270986622331	False
Prenol	Spingo lipid	1911140.5	0.0004366191956551976	8687	486	0.0007640835923965959	True
Prenol	Fatty Acyl	147511638.5	0.6461961778925537	8687	34070	0.6461961778925537	False
Prenol	Glycerophopspholipid	86139627.5	1.100330597303164e-117	8687	23805	1.5404628362244298e-116	True
Prenol	Glycerolipid	16834976.0	1.911015162626156e-77	8687	4805	1.3377106138383091e-76	True
saccharo lipid	Spingo lipid	655573.5	3.873365370178349e-05	3052	486	9.859475487726707e-05	True
saccharo lipid	Fatty Acyl	50851219.0	0.04450255941711753	3052	34070	0.05663962107633141	False
saccharo lipid	Glycerophopspholipid	29709665.5	1.6520655525037903e-60	3052	23805	7.709639245017689e-60	True
saccharo lipid	Glycerolipid	5755202.0	2.756953756791647e-58	3052	4805	1.1027815027166588e-57	True
Spingo lipid	Fatty Acyl	9041981.0	0.00047569505046735175	486	34070	0.0007834977301815206	True
Spingo lipid	Glycerophopspholipid	5326369.0	0.0027497664285991885	486	23805	0.004277414444487627	True
Spingo lipid	Glycerolipid	1047357.5	0.00017865645813867727	486	4805	0.0003847985252217664	True
Fatty Acyl	Glycerophopspholipid	340045297.0	2.5499737911100114e-240	34070	23805	7.139926615108032e-239	True
Fatty Acyl	Glycerolipid	66250764.5	7.86010098974957e-102	34070	4805	7.336094257099599e-101	True
Glycerophopspholipid	Glycerolipid	56280793.0	0.08116789568235717	23805	4805	0.09469587829608338	False
