class	dist_HA
sterol	2.6
sterol	1.6
sterol	1.97
sterol	2.51
sterol	2.19
sterol	2.42
sterol	1.88
sterol	1.7
sterol	2.45
sterol	2.29
sterol	2.19
sterol	1.82
sterol	2.38
sterol	3.1
sterol	1.81
sterol	2.6
sterol	2.97
sterol	2.42
sterol	2.34
sterol	2.84
sterol	2.37
sterol	2.76
sterol	3.35
sterol	2.78
sterol	1.76
sterol	2.51
sterol	3.17
sterol	3.12
sterol	2.51
sterol	2.14
sterol	1.92
sterol	3.23
sterol	3.26
sterol	2.21
sterol	1.72
sterol	1.98
sterol	3.18
sterol	2.12
sterol	1.83
sterol	2.21
sterol	3.23
sterol	2.0
sterol	1.72
sterol	2.34
sterol	1.67
sterol	3.21
sterol	2.08
sterol	1.77
sterol	2.21
sterol	2.35
sterol	2.63
sterol	1.7
sterol	1.5
sterol	1.53
sterol	2.24
sterol	2.0
sterol	2.31
sterol	1.92
sterol	1.98
sterol	1.9
sterol	3.12
sterol	2.24
sterol	3.54
sterol	2.06
sterol	3.15
sterol	1.83
sterol	3.62
sterol	2.94
sterol	3.08
sterol	2.05
sterol	2.06
sterol	2.34
sterol	1.96
sterol	1.72
sterol	2.91
sterol	2.01
sterol	1.77
sterol	2.33
sterol	1.61
sterol	2.36
sterol	3.15
sterol	1.7
sterol	1.57
sterol	3.4
sterol	3.05
sterol	2.87
sterol	2.16
sterol	1.82
sterol	2.49
sterol	2.92
sterol	1.45
sterol	2.29
sterol	2.3
sterol	2.25
sterol	1.82
sterol	3.7
sterol	2.73
sterol	3.21
sterol	3.42
sterol	1.98
sterol	2.25
sterol	3.33
sterol	3.25
sterol	3.0
sterol	2.28
sterol	2.67
sterol	2.48
sterol	3.1
sterol	3.42
sterol	3.17
sterol	2.88
sterol	1.8
sterol	3.09
sterol	2.08
sterol	2.2
sterol	2.27
sterol	1.66
sterol	2.87
sterol	3.2
sterol	2.02
sterol	2.21
sterol	1.93
sterol	3.03
sterol	2.86
sterol	1.79
sterol	2.1
sterol	1.94
sterol	2.29
sterol	2.86
sterol	2.47
sterol	2.0
