group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	14874364.0	0.3818499448603785	5269	5701	0.4549026108993407	False
sterol	Prenol	21445380.0	4.2839560469903344e-10	5269	8687	1.0904615392339034e-09	True
sterol	saccharo lipid	7173854.5	2.2770539938992174e-16	5269	3052	7.084167981019787e-16	True
sterol	Spingo lipid	1305481.0	0.4736428842179867	5269	486	0.5100769522347549	False
sterol	Fatty Acyl	81059793.5	8.538885377835999e-30	5269	34070	7.969626352646932e-29	True
sterol	Glycerophopspholipid	62620539.0	0.8649866845305605	5269	23805	0.8649866845305605	False
sterol	Glycerolipid	13026350.5	0.011695741124765312	5269	4805	0.016374037574671436	True
Polyketide	Prenol	23452065.0	7.588444799910525e-08	5701	8687	1.7706371199791224e-07	True
Polyketide	saccharo lipid	7851136.0	4.9923015831250987e-14	5701	3052	1.3978444432750276e-13	True
Polyketide	Spingo lipid	1426401.0	0.27738549775640964	5701	486	0.3698473303418795	False
Polyketide	Fatty Acyl	88776816.5	2.634474813696663e-25	5701	34070	1.8441323695876642e-24	True
Polyketide	Glycerophopspholipid	68382840.0	0.36190551168129503	5701	23805	0.4549026108993407	False
Polyketide	Glycerolipid	14225922.5	0.0006320384770600914	5701	4805	0.0009831709643156976	True
Prenol	saccharo lipid	12620797.5	7.937235999140355e-05	8687	3052	0.00013890162998495621	True
Prenol	Spingo lipid	2287236.5	0.0019149358530937788	8687	486	0.002822010730875042	True
Prenol	Fatty Acyl	142483686.0	8.547758703355447e-08	8687	34070	1.8410557207227116e-07	True
Prenol	Glycerophopspholipid	109749358.5	2.082840027115423e-17	8687	23805	7.289940094903981e-17	True
Prenol	Glycerolipid	22761401.5	2.5899456140063858e-18	8687	4805	1.0359782456025543e-17	True
saccharo lipid	Spingo lipid	835340.5	7.457060006672991e-06	3052	486	1.4914120013345981e-05	True
saccharo lipid	Fatty Acyl	52472524.5	0.3957036171925934	3052	34070	0.4549026108993407	False
saccharo lipid	Glycerophopspholipid	40164176.0	1.781174435050411e-21	3052	23805	8.312147363568584e-21	True
saccharo lipid	Glycerolipid	8296627.5	7.628682545964758e-23	3052	4805	4.272062225740265e-22	True
Spingo lipid	Fatty Acyl	7332390.5	1.4573018237135722e-05	486	34070	2.720296737598668e-05	True
Spingo lipid	Glycerophopspholipid	5657493.0	0.4061630454458399	486	23805	0.4549026108993407	False
Spingo lipid	Glycerolipid	1178530.5	0.733761754980713	486	4805	0.760938116276295	False
Fatty Acyl	Glycerophopspholipid	443533253.0	2.4672917219280002e-82	34070	23805	6.908416821398401e-81	True
Fatty Acyl	Glycerolipid	91533401.0	2.5631476054058127e-40	34070	4805	3.588406647568138e-39	True
Glycerophopspholipid	Glycerolipid	59022180.0	0.00045571309113435023	23805	4805	0.0007505862677506946	True
