class	donor_angle
sterol	110.52
sterol	135.39
sterol	101.59
sterol	134.12
sterol	116.85
sterol	134.75
sterol	137.99
sterol	147.39
sterol	133.97
sterol	169.61
sterol	108.76
sterol	161.72
sterol	144.76
sterol	108.51
sterol	173.24
sterol	124.76
sterol	117.05
sterol	107.49
sterol	172.44
sterol	100.16
sterol	166.48
sterol	105.77
sterol	125.79
sterol	113.14
sterol	154.68
sterol	144.39
sterol	124.83
sterol	110.22
sterol	127.94
sterol	166.25
sterol	144.83
sterol	110.13
sterol	142.36
sterol	133.59
sterol	170.39
sterol	152.21
sterol	153.98
sterol	138.2
sterol	173.84
sterol	123.99
sterol	117.82
sterol	109.47
sterol	165.35
sterol	129.92
sterol	165.71
sterol	116.43
sterol	108.98
sterol	164.93
sterol	141.31
sterol	153.8
sterol	114.31
sterol	134.03
sterol	160.65
sterol	155.55
sterol	109.54
sterol	156.74
sterol	108.78
sterol	157.47
sterol	160.5
sterol	153.83
sterol	130.57
sterol	157.76
sterol	105.86
sterol	147.36
sterol	107.66
sterol	143.74
sterol	110.93
sterol	136.92
sterol	139.74
sterol	137.25
sterol	139.52
sterol	140.23
sterol	149.88
sterol	169.62
sterol	175.25
sterol	120.03
sterol	149.34
sterol	109.31
sterol	169.18
sterol	106.83
sterol	158.94
sterol	168.11
sterol	163.28
sterol	127.21
sterol	132.52
sterol	130.68
sterol	117.4
sterol	134.46
sterol	139.94
sterol	103.93
sterol	158.2
sterol	144.95
sterol	134.12
sterol	118.35
sterol	149.74
sterol	107.68
sterol	133.29
sterol	102.94
sterol	124.29
sterol	153.22
sterol	170.56
sterol	127.95
sterol	100.28
sterol	153.78
sterol	126.21
sterol	111.19
sterol	126.02
sterol	130.08
sterol	104.64
sterol	125.7
sterol	159.96
sterol	178.16
sterol	122.2
sterol	155.89
sterol	145.91
sterol	139.2
sterol	162.6
sterol	119.41
sterol	122.48
sterol	160.57
sterol	107.04
sterol	176.23
sterol	144.05
sterol	125.82
sterol	158.74
sterol	118.11
sterol	154.78
sterol	116.98
sterol	134.77
sterol	102.87
sterol	130.71
sterol	113.94
sterol	157.02
sterol	150.99
sterol	169.5
sterol	147.64
sterol	143.33
sterol	109.09
sterol	152.93
sterol	154.23
sterol	155.72
sterol	146.79
sterol	122.96
sterol	128.85
sterol	171.92
sterol	105.66
sterol	137.95
sterol	135.65
sterol	100.12
sterol	135.4
sterol	131.26
sterol	131.45
sterol	116.97
sterol	129.3
sterol	104.05
sterol	142.62
sterol	144.78
sterol	140.02
sterol	147.85
sterol	118.04
sterol	103.7
sterol	133.79
sterol	146.69
sterol	152.23
sterol	121.03
sterol	108.26
sterol	158.44
sterol	145.41
sterol	137.55
sterol	115.13
sterol	102.3
sterol	111.82
sterol	124.1
sterol	151.44
sterol	135.64
sterol	110.38
sterol	150.52
sterol	114.76
sterol	159.55
sterol	162.08
sterol	139.59
sterol	135.22
sterol	150.41
sterol	112.51
sterol	126.04
sterol	136.83
sterol	144.71
sterol	102.59
sterol	109.51
sterol	155.4
sterol	123.57
sterol	159.45
sterol	169.26
sterol	108.34
sterol	152.11
sterol	161.25
sterol	166.89
sterol	128.13
sterol	111.32
sterol	117.8
sterol	174.79
sterol	159.21
sterol	153.13
sterol	166.46
sterol	173.77
sterol	105.0
sterol	142.53
sterol	150.36
sterol	173.17
sterol	166.33
sterol	142.03
sterol	126.36
sterol	101.71
sterol	160.17
sterol	157.12
sterol	140.18
sterol	110.63
sterol	106.17
sterol	167.66
sterol	150.86
sterol	111.69
sterol	155.56
sterol	156.59
sterol	118.51
sterol	130.13
sterol	132.28
sterol	157.09
sterol	132.11
sterol	163.71
sterol	136.49
sterol	112.47
sterol	125.43
sterol	127.43
sterol	142.06
sterol	165.76
sterol	134.05
sterol	130.5
sterol	104.09
sterol	141.85
sterol	132.69
sterol	105.85
sterol	156.54
sterol	104.27
sterol	156.81
sterol	140.99
sterol	132.56
sterol	126.16
sterol	126.31
sterol	157.72
sterol	127.77
sterol	136.68
sterol	101.41
sterol	108.35
sterol	148.48
sterol	148.49
sterol	144.22
sterol	134.76
sterol	155.78
sterol	168.06
sterol	138.57
sterol	100.76
sterol	162.95
sterol	153.93
sterol	129.25
sterol	162.16
sterol	156.76
sterol	121.14
sterol	145.46
sterol	131.54
sterol	138.91
sterol	152.84
sterol	129.04
sterol	136.4
sterol	172.13
sterol	117.85
sterol	141.99
sterol	150.49
sterol	162.54
sterol	143.09
sterol	131.71
sterol	136.52
sterol	126.77
sterol	114.09
sterol	104.48
sterol	104.14
sterol	142.78
sterol	117.26
sterol	125.79
sterol	160.91
sterol	101.51
sterol	150.14
sterol	113.75
sterol	149.77
sterol	157.53
sterol	149.31
sterol	142.45
sterol	101.17
sterol	152.79
sterol	159.09
sterol	110.46
sterol	148.47
sterol	161.06
sterol	155.2
sterol	159.81
sterol	158.43
sterol	165.31
sterol	152.04
sterol	108.02
sterol	147.79
sterol	142.29
sterol	168.2
sterol	137.75
sterol	118.98
sterol	123.24
sterol	149.68
sterol	136.62
sterol	106.25
sterol	157.6
sterol	128.57
sterol	143.13
sterol	156.7
sterol	101.5
sterol	159.82
sterol	155.28
sterol	142.1
sterol	106.79
sterol	153.05
sterol	166.2
sterol	152.54
sterol	145.61
sterol	156.0
sterol	161.58
sterol	142.56
sterol	157.9
sterol	131.86
sterol	166.34
sterol	163.64
sterol	159.24
sterol	157.79
sterol	107.0
sterol	130.65
sterol	108.03
