group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	159029295.5	1.759052810947626e-16	26535	11380	3.7887291312718095e-16	True
sterol	Prenol	1068204601.5	1.409777679208967e-47	26535	75981	4.385975001983452e-47	True
sterol	saccharo lipid	9179808.5	0.030556563466888523	26535	726	0.04277918885364393	True
sterol	Spingo lipid	21349112.0	1.5882112301601445e-06	26535	1728	2.779369652780253e-06	True
sterol	Fatty Acyl	860972321.5	1.5744857804351114e-58	26535	69567	6.297943121740446e-58	True
sterol	Glycerophopspholipid	1214622025.0	5.2280710057730475e-39	26535	96598	1.4638598816164531e-38	True
sterol	Glycerolipid	250158646.5	1.5208071771205139e-56	26535	20605	5.322825119921799e-56	True
Polyketide	Prenol	434342248.0	0.42291436739814314	11380	75981	0.4736640914859203	False
Polyketide	saccharo lipid	3733460.5	1.3358437392532071e-05	11380	726	2.0779791499494332e-05	True
Polyketide	Spingo lipid	8606480.5	6.022933429297695e-17	11380	1728	1.4053511335027955e-16	True
Polyketide	Fatty Acyl	347628663.5	1.1319915876366842e-96	11380	69567	6.339152890765431e-96	True
Polyketide	Glycerophopspholipid	489077834.5	1.1593470438739575e-82	11380	96598	5.410286204745136e-82	True
Polyketide	Glycerolipid	100680940.0	1.803576384660299e-97	11380	20605	1.2625034692622092e-96	True
Prenol	saccharo lipid	24746678.5	1.807087664782314e-06	75981	726	2.9763796831708704e-06	True
Prenol	Spingo lipid	57006503.0	7.086361143183144e-21	75981	1728	1.8038010182648005e-20	True
Prenol	Fatty Acyl	2301795620.5	0.0	75981	69567	0.0	True
Prenol	Glycerophopspholipid	3238358767.0	0.0	75981	96598	0.0	True
Prenol	Glycerolipid	666820838.0	3.5734146345820155e-234	75981	20605	3.335186992276548e-233	True
saccharo lipid	Spingo lipid	615131.0	0.448780966465116	726	1728	0.48330257927012493	False
saccharo lipid	Fatty Acyl	24816474.5	0.42234551715508184	726	69567	0.4736640914859203	False
saccharo lipid	Glycerophopspholipid	35006086.5	0.9376470217713632	726	96598	0.9674054506428689	False
saccharo lipid	Glycerolipid	7216292.0	0.10629816196472688	726	20605	0.14173088261963585	False
Spingo lipid	Fatty Acyl	60140416.0	0.9674054506428689	1728	69567	0.9674054506428689	False
Spingo lipid	Glycerophopspholipid	84914722.5	0.21367365188400267	1728	96598	0.2719482842160034	False
Spingo lipid	Glycerolipid	17508219.5	0.2525269802062936	1728	20605	0.30742414981635746	False
Fatty Acyl	Glycerophopspholipid	3418052040.0	1.7731610947242028e-09	69567	96598	3.3099007101518455e-09	True
Fatty Acyl	Glycerolipid	704641265.5	0.00023401193284754276	69567	20605	0.00034485969051216826	True
Glycerophopspholipid	Glycerolipid	961538363.0	2.238441555178281e-14	96598	20605	4.476883110356562e-14	True
