class	hydrophobic_distance
sterol	1.08
sterol	1.3
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.49
sterol	1.57
sterol	1.62
sterol	1.63
sterol	1.69
sterol	1.71
sterol	1.72
sterol	1.75
sterol	1.78
sterol	1.78
sterol	1.81
sterol	1.83
sterol	1.84
sterol	1.84
sterol	1.84
sterol	1.84
sterol	1.88
sterol	1.92
sterol	1.93
sterol	1.94
sterol	1.96
sterol	1.97
sterol	1.97
sterol	1.97
sterol	1.98
sterol	2.03
sterol	2.05
sterol	2.05
sterol	2.06
sterol	2.09
sterol	2.09
sterol	2.14
sterol	2.15
sterol	2.15
sterol	2.15
sterol	2.17
sterol	2.17
sterol	2.17
sterol	2.22
sterol	2.23
sterol	2.24
sterol	2.24
sterol	2.25
sterol	2.26
sterol	2.27
sterol	2.29
sterol	2.29
sterol	2.3
sterol	2.3
sterol	2.32
sterol	2.33
sterol	2.33
sterol	2.33
sterol	2.33
sterol	2.36
sterol	2.38
sterol	2.41
sterol	2.42
sterol	2.44
sterol	2.44
sterol	2.44
sterol	2.45
sterol	2.45
sterol	2.45
sterol	2.45
sterol	2.46
sterol	2.46
sterol	2.46
sterol	2.47
sterol	2.47
sterol	2.47
sterol	2.48
sterol	2.48
sterol	2.48
sterol	2.49
sterol	2.49
sterol	2.49
sterol	2.5
sterol	2.5
sterol	2.5
sterol	2.51
sterol	2.51
sterol	2.52
sterol	2.54
sterol	2.54
sterol	2.54
sterol	2.54
sterol	2.55
sterol	2.55
sterol	2.56
sterol	2.56
sterol	2.56
sterol	2.56
sterol	2.56
sterol	2.56
sterol	2.57
sterol	2.57
sterol	2.57
sterol	2.58
sterol	2.58
sterol	2.58
sterol	2.58
sterol	2.59
sterol	2.6
sterol	2.6
sterol	2.61
sterol	2.61
sterol	2.61
sterol	2.62
sterol	2.62
sterol	2.63
sterol	2.63
sterol	2.64
sterol	2.65
sterol	2.65
sterol	2.66
sterol	2.67
sterol	2.67
sterol	2.67
sterol	2.67
sterol	2.68
sterol	2.68
sterol	2.69
sterol	2.7
sterol	2.7
sterol	2.7
sterol	2.71
sterol	2.71
sterol	2.71
sterol	2.72
sterol	2.72
sterol	2.72
sterol	2.72
sterol	2.73
sterol	2.73
sterol	2.73
sterol	2.73
sterol	2.73
sterol	2.73
sterol	2.73
sterol	2.74
sterol	2.74
sterol	2.75
sterol	2.76
sterol	2.76
sterol	2.76
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.77
sterol	2.78
sterol	2.78
sterol	2.78
sterol	2.78
sterol	2.79
sterol	2.79
sterol	2.79
sterol	2.8
sterol	2.8
sterol	2.8
sterol	2.81
sterol	2.81
sterol	2.81
sterol	2.82
sterol	2.82
sterol	2.82
sterol	2.82
sterol	2.82
sterol	2.82
sterol	2.83
sterol	2.83
sterol	2.83
sterol	2.83
sterol	2.83
sterol	2.83
sterol	2.84
sterol	2.84
sterol	2.84
sterol	2.84
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.85
sterol	2.86
sterol	2.86
sterol	2.86
sterol	2.87
sterol	2.87
sterol	2.87
sterol	2.87
sterol	2.87
sterol	2.87
sterol	2.88
sterol	2.88
sterol	2.88
sterol	2.88
sterol	2.88
sterol	2.89
sterol	2.89
sterol	2.89
sterol	2.89
sterol	2.89
sterol	2.89
sterol	2.9
sterol	2.9
sterol	2.9
sterol	2.91
sterol	2.91
sterol	2.91
sterol	2.91
sterol	2.92
sterol	2.92
sterol	2.92
sterol	2.92
sterol	2.92
sterol	2.93
sterol	2.93
sterol	2.93
sterol	2.93
sterol	2.93
sterol	2.93
sterol	2.93
sterol	2.94
sterol	2.94
sterol	2.94
sterol	2.94
sterol	2.94
sterol	2.94
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.95
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.96
sterol	2.97
sterol	2.97
sterol	2.97
sterol	2.97
sterol	2.97
sterol	2.97
