group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	2226.0	0.002775288223164968	24	134	0.006475672520718259	True
sterol	Prenol	261.0	0.00012586925155120692	24	49	0.00033040678532191817	True
sterol	saccharo lipid	65.5	0.7727483244564725	24	5	0.7727483244564725	False
sterol	Spingo lipid	8.0	0.1356995732936003	24	2	0.16404795391632282	False
sterol	Fatty Acyl	8441.5	1.6270660873428715e-06	24	445	6.833677566840061e-06	True
sterol	Glycerophopspholipid	4426.0	2.9143051346308304e-05	24	739	8.742915403892492e-05	True
Polyketide	Prenol	1354.0	1.2154410027202056e-09	134	49	6.381065264281079e-09	True
Polyketide	saccharo lipid	195.5	0.11587844296826555	134	5	0.15209045639584853	False
Polyketide	Spingo lipid	52.0	0.1406125319282767	134	2	0.16404795391632282	False
Polyketide	Fatty Acyl	34255.0	0.008918128478590394	134	445	0.01560672483753319	True
Polyketide	Glycerophopspholipid	19793.5	1.8185276306486948e-28	134	739	1.9094540121811296e-27	True
Prenol	saccharo lipid	214.5	0.006313233285585751	49	5	0.012052536272481887	True
Prenol	Spingo lipid	76.0	0.19837148233032265	49	2	0.21925269099667238	False
Prenol	Fatty Acyl	18914.0	2.98046277457457e-17	49	445	2.086323942202199e-16	True
Prenol	Glycerophopspholipid	24698.0	1.9328831221154212e-05	49	739	6.765090927403975e-05	True
saccharo lipid	Spingo lipid	0.0	0.09523809523809523	5	2	0.13333333333333333	False
saccharo lipid	Fatty Acyl	1777.0	0.0216569226637797	5	445	0.03498425968764413	True
saccharo lipid	Glycerophopspholipid	453.0	0.00360552265460848	5	739	0.007571597574677809	True
Spingo lipid	Fatty Acyl	823.0	0.038348535527778824	2	445	0.057522803291668236	False
Spingo lipid	Glycerophopspholipid	864.0	0.6804352801065428	2	739	0.7144570441118699	False
Fatty Acyl	Glycerophopspholipid	35431.5	1.8745390437622788e-113	445	739	3.9365319919007856e-112	True
