class	pi-cation_dist
sterol	5.59
sterol	4.44
sterol	4.26
sterol	4.1
sterol	4.45
sterol	4.39
sterol	4.4
sterol	4.04
sterol	4.76
sterol	4.28
sterol	5.14
sterol	5.2
sterol	4.23
sterol	4.27
sterol	3.85
sterol	4.0
sterol	4.19
sterol	3.98
sterol	4.14
sterol	4.53
sterol	4.5
sterol	4.53
sterol	4.5
sterol	4.49
Polyketide	4.03
Polyketide	3.76
Polyketide	4.46
Polyketide	4.75
Polyketide	3.85
Polyketide	3.63
Polyketide	3.73
Polyketide	3.86
Polyketide	3.64
Polyketide	4.04
Polyketide	5.05
Polyketide	3.51
Polyketide	3.39
Polyketide	3.54
Polyketide	3.72
Polyketide	3.31
Polyketide	4.15
Polyketide	5.37
Polyketide	3.67
Polyketide	4.35
Polyketide	4.31
Polyketide	4.22
Polyketide	4.16
Polyketide	5.33
Polyketide	5.4
Polyketide	4.33
Polyketide	4.21
Polyketide	4.88
Polyketide	4.1
Polyketide	3.81
Polyketide	3.61
Polyketide	4.92
Polyketide	3.67
Polyketide	4.15
Polyketide	4.73
Polyketide	3.55
Polyketide	4.01
Polyketide	3.2
Polyketide	3.06
Polyketide	3.19
Polyketide	4.04
Polyketide	4.06
Polyketide	4.86
Polyketide	4.77
Polyketide	4.21
Polyketide	3.68
Polyketide	3.83
Polyketide	4.1
Polyketide	4.22
Polyketide	5.63
Polyketide	4.59
Polyketide	4.53
Polyketide	3.63
Polyketide	4.05
Polyketide	4.25
Polyketide	4.78
Polyketide	5.28
Polyketide	3.74
Polyketide	3.66
Polyketide	3.78
Polyketide	3.97
Polyketide	3.64
Polyketide	4.11
Polyketide	3.87
Polyketide	3.44
Polyketide	3.78
Polyketide	5.15
Polyketide	5.44
Polyketide	5.78
Polyketide	4.06
Polyketide	3.77
Polyketide	3.38
Polyketide	4.41
Polyketide	3.98
Polyketide	4.25
Polyketide	4.2
Polyketide	3.99
Polyketide	3.58
Polyketide	3.8
Polyketide	4.3
Polyketide	4.0
Polyketide	4.02
Polyketide	4.18
Polyketide	5.05
Polyketide	3.79
Polyketide	4.37
Polyketide	4.0
Polyketide	4.04
Polyketide	3.98
Polyketide	4.56
Polyketide	5.5
Polyketide	4.23
Polyketide	3.61
Polyketide	3.96
Polyketide	3.82
Polyketide	4.24
Polyketide	5.34
Polyketide	5.34
Polyketide	4.75
Polyketide	3.66
Polyketide	3.79
Polyketide	4.33
Polyketide	3.54
Polyketide	3.78
Polyketide	3.87
Polyketide	5.03
Polyketide	5.01
Polyketide	5.01
Polyketide	4.14
Polyketide	3.98
Polyketide	3.89
Polyketide	3.55
Polyketide	3.61
Polyketide	3.79
Polyketide	3.49
Polyketide	3.72
Polyketide	3.71
Polyketide	3.74
Polyketide	4.62
Polyketide	3.81
Polyketide	5.96
Polyketide	4.64
Polyketide	4.54
Polyketide	4.02
Polyketide	5.4
Polyketide	4.03
Polyketide	4.17
Polyketide	4.02
Polyketide	4.02
Polyketide	4.12
Polyketide	3.79
Polyketide	3.96
Polyketide	4.0
Polyketide	4.54
Prenol	5.75
Prenol	5.44
Prenol	4.25
Prenol	5.39
Prenol	3.4
Prenol	4.45
Prenol	3.53
Prenol	5.19
Prenol	5.1
Prenol	4.88
Prenol	4.87
Prenol	5.34
Prenol	4.89
Prenol	4.88
Prenol	4.74
Prenol	4.88
Prenol	4.9
Prenol	4.73
Prenol	4.68
Prenol	4.13
Prenol	5.08
Prenol	5.08
Prenol	4.92
Prenol	5.03
Prenol	4.86
Prenol	5.01
Prenol	5.11
Prenol	5.21
Prenol	4.85
Prenol	4.99
Prenol	5.04
Prenol	5.99
Prenol	4.85
Prenol	4.75
Prenol	5.05
Prenol	4.87
Prenol	5.24
Prenol	5.46
Prenol	4.82
Prenol	4.54
Prenol	4.75
Prenol	5.2
Prenol	5.03
Prenol	4.84
Prenol	5.06
Prenol	4.43
Prenol	4.63
Prenol	3.37
Prenol	3.39
saccharo lipid	4.2
saccharo lipid	4.49
saccharo lipid	4.35
saccharo lipid	4.25
saccharo lipid	4.41
Spingo lipid	4.69
Spingo lipid	4.71
Fatty Acyl	3.83
Fatty Acyl	3.59
Fatty Acyl	3.25
Fatty Acyl	5.41
Fatty Acyl	4.22
Fatty Acyl	4.74
Fatty Acyl	3.93
Fatty Acyl	5.7
Fatty Acyl	3.75
Fatty Acyl	3.19
Fatty Acyl	3.84
Fatty Acyl	3.37
Fatty Acyl	3.58
Fatty Acyl	5.99
Fatty Acyl	4.34
Fatty Acyl	3.99
Fatty Acyl	3.64
Fatty Acyl	3.98
Fatty Acyl	3.74
Fatty Acyl	4.32
Fatty Acyl	3.83
Fatty Acyl	3.7
Fatty Acyl	3.85
Fatty Acyl	3.69
Fatty Acyl	3.61
Fatty Acyl	3.67
Fatty Acyl	5.9
Fatty Acyl	3.9
Fatty Acyl	3.83
Fatty Acyl	3.92
Fatty Acyl	3.9
Fatty Acyl	3.84
Fatty Acyl	3.9
Fatty Acyl	4.08
Fatty Acyl	3.65
Fatty Acyl	4.19
Fatty Acyl	4.2
Fatty Acyl	4.08
Fatty Acyl	4.31
Fatty Acyl	3.91
Fatty Acyl	3.74
Fatty Acyl	4.04
Fatty Acyl	3.96
Fatty Acyl	4.61
Fatty Acyl	4.0
Fatty Acyl	3.77
Fatty Acyl	3.54
Fatty Acyl	3.57
Fatty Acyl	3.57
Fatty Acyl	3.95
Fatty Acyl	4.73
Fatty Acyl	4.58
Fatty Acyl	4.67
Fatty Acyl	3.6
Fatty Acyl	3.6
Fatty Acyl	3.94
Fatty Acyl	3.58
Fatty Acyl	3.76
Fatty Acyl	3.45
Fatty Acyl	3.5
Fatty Acyl	3.6
Fatty Acyl	4.13
Fatty Acyl	3.14
Fatty Acyl	3.99
Fatty Acyl	3.69
Fatty Acyl	4.06
Fatty Acyl	4.67
Fatty Acyl	4.76
Fatty Acyl	3.77
Fatty Acyl	3.44
Fatty Acyl	3.58
Fatty Acyl	3.93
Fatty Acyl	4.01
Fatty Acyl	3.86
Fatty Acyl	3.66
Fatty Acyl	3.77
Fatty Acyl	5.67
Fatty Acyl	3.59
Fatty Acyl	4.58
Fatty Acyl	4.67
Fatty Acyl	3.85
Fatty Acyl	3.53
Fatty Acyl	3.79
Fatty Acyl	3.7
Fatty Acyl	4.42
Fatty Acyl	4.7
Fatty Acyl	5.46
Fatty Acyl	5.33
Fatty Acyl	5.02
Fatty Acyl	4.13
Fatty Acyl	4.37
Fatty Acyl	5.59
Fatty Acyl	3.59
Fatty Acyl	3.98
Fatty Acyl	3.98
Fatty Acyl	3.58
Fatty Acyl	3.67
Fatty Acyl	3.47
Fatty Acyl	3.96
Fatty Acyl	3.96
Fatty Acyl	3.49
Fatty Acyl	3.49
Fatty Acyl	3.71
Fatty Acyl	4.03
Fatty Acyl	4.28
Fatty Acyl	4.3
Fatty Acyl	3.32
Fatty Acyl	4.1
Fatty Acyl	4.11
Fatty Acyl	4.01
Fatty Acyl	3.78
Fatty Acyl	3.91
Fatty Acyl	3.67
Fatty Acyl	3.59
Fatty Acyl	3.77
Fatty Acyl	5.02
Fatty Acyl	4.08
Fatty Acyl	4.0
Fatty Acyl	4.44
Fatty Acyl	4.79
Fatty Acyl	3.59
Fatty Acyl	4.11
Fatty Acyl	3.99
Fatty Acyl	4.48
Fatty Acyl	4.84
Fatty Acyl	4.46
Fatty Acyl	4.9
Fatty Acyl	3.64
Fatty Acyl	4.01
Fatty Acyl	3.94
Fatty Acyl	3.85
Fatty Acyl	3.96
Fatty Acyl	3.92
Fatty Acyl	3.98
Fatty Acyl	3.78
Fatty Acyl	3.9
Fatty Acyl	4.08
Fatty Acyl	3.96
Fatty Acyl	3.88
Fatty Acyl	3.91
Fatty Acyl	3.91
Fatty Acyl	3.82
Fatty Acyl	4.1
Fatty Acyl	4.09
Fatty Acyl	3.98
Fatty Acyl	3.85
Fatty Acyl	3.82
Fatty Acyl	3.7
Fatty Acyl	3.58
Fatty Acyl	3.52
Fatty Acyl	3.73
Fatty Acyl	3.54
Fatty Acyl	3.59
Fatty Acyl	3.64
Fatty Acyl	3.62
Fatty Acyl	4.09
Fatty Acyl	3.67
Fatty Acyl	4.48
Fatty Acyl	4.63
Fatty Acyl	4.33
Fatty Acyl	4.72
Fatty Acyl	4.68
Fatty Acyl	4.59
Fatty Acyl	4.57
Fatty Acyl	3.95
Fatty Acyl	3.74
Fatty Acyl	4.62
Fatty Acyl	4.58
Fatty Acyl	3.84
Fatty Acyl	4.05
Fatty Acyl	3.86
Fatty Acyl	3.96
Fatty Acyl	3.98
Fatty Acyl	3.76
Fatty Acyl	5.65
Fatty Acyl	5.89
Fatty Acyl	3.56
Fatty Acyl	3.79
Fatty Acyl	4.17
Fatty Acyl	3.83
Fatty Acyl	3.59
Fatty Acyl	3.74
Fatty Acyl	3.91
Fatty Acyl	3.7
Fatty Acyl	3.69
Fatty Acyl	3.61
Fatty Acyl	3.84
Fatty Acyl	3.82
Fatty Acyl	3.88
Fatty Acyl	3.89
Fatty Acyl	3.99
Fatty Acyl	4.01
Fatty Acyl	3.92
Fatty Acyl	3.99
Fatty Acyl	4.84
Fatty Acyl	3.93
Fatty Acyl	3.84
Fatty Acyl	4.16
Fatty Acyl	3.75
Fatty Acyl	3.53
Fatty Acyl	3.45
Fatty Acyl	3.71
Fatty Acyl	5.01
Fatty Acyl	5.48
Fatty Acyl	3.53
Fatty Acyl	3.73
Fatty Acyl	3.59
Fatty Acyl	3.55
Fatty Acyl	4.09
Fatty Acyl	4.11
Fatty Acyl	4.15
Fatty Acyl	4.3
Fatty Acyl	3.15
Fatty Acyl	3.94
Fatty Acyl	4.25
Fatty Acyl	3.26
Fatty Acyl	2.9
Fatty Acyl	4.56
Fatty Acyl	3.77
Fatty Acyl	3.85
Fatty Acyl	3.68
Fatty Acyl	4.81
Fatty Acyl	4.48
Fatty Acyl	3.69
Fatty Acyl	3.88
Fatty Acyl	3.89
Fatty Acyl	3.89
Fatty Acyl	3.99
Fatty Acyl	3.99
Fatty Acyl	3.81
Fatty Acyl	3.62
Fatty Acyl	3.79
Fatty Acyl	3.8
Fatty Acyl	3.56
Fatty Acyl	3.69
Fatty Acyl	3.67
Fatty Acyl	3.46
Fatty Acyl	3.59
Fatty Acyl	3.84
Fatty Acyl	3.37
Fatty Acyl	3.75
Fatty Acyl	3.77
Fatty Acyl	3.73
Fatty Acyl	3.68
Fatty Acyl	3.97
Fatty Acyl	3.79
Fatty Acyl	4.18
Fatty Acyl	4.34
Fatty Acyl	4.41
Fatty Acyl	4.3
Fatty Acyl	4.09
Fatty Acyl	4.18
Fatty Acyl	3.96
Fatty Acyl	3.59
Fatty Acyl	4.22
Fatty Acyl	4.16
Fatty Acyl	4.42
Fatty Acyl	4.79
Fatty Acyl	4.42
Fatty Acyl	4.34
Fatty Acyl	4.44
Fatty Acyl	4.94
Fatty Acyl	4.43
Fatty Acyl	4.42
Fatty Acyl	4.34
Fatty Acyl	4.34
Fatty Acyl	4.53
Fatty Acyl	4.0
Fatty Acyl	4.05
Fatty Acyl	4.01
Fatty Acyl	3.99
Fatty Acyl	4.07
Fatty Acyl	4.0
Fatty Acyl	3.77
Fatty Acyl	3.7
Fatty Acyl	3.72
Fatty Acyl	3.78
Fatty Acyl	3.92
Fatty Acyl	3.88
Fatty Acyl	3.93
Fatty Acyl	4.51
Fatty Acyl	4.64
Fatty Acyl	3.75
Fatty Acyl	4.38
Fatty Acyl	4.47
Fatty Acyl	4.45
Fatty Acyl	4.47
Fatty Acyl	3.65
Fatty Acyl	5.47
Fatty Acyl	3.98
Fatty Acyl	3.45
Fatty Acyl	3.71
Fatty Acyl	3.31
Fatty Acyl	4.43
Fatty Acyl	4.4
Fatty Acyl	5.98
Fatty Acyl	4.03
Fatty Acyl	4.75
Fatty Acyl	3.79
Fatty Acyl	4.05
Fatty Acyl	3.8
Fatty Acyl	4.02
Fatty Acyl	4.44
Fatty Acyl	3.85
Fatty Acyl	4.27
Fatty Acyl	4.43
Fatty Acyl	3.79
Fatty Acyl	3.9
Fatty Acyl	4.04
Fatty Acyl	4.05
Fatty Acyl	3.79
Fatty Acyl	3.83
Fatty Acyl	3.78
Fatty Acyl	3.62
Fatty Acyl	3.74
Fatty Acyl	3.75
Fatty Acyl	3.63
Fatty Acyl	3.6
Fatty Acyl	3.74
Fatty Acyl	3.75
Fatty Acyl	3.54
Fatty Acyl	3.71
Fatty Acyl	3.62
Fatty Acyl	3.99
Fatty Acyl	3.6
Fatty Acyl	3.21
Fatty Acyl	3.06
Fatty Acyl	3.44
Fatty Acyl	3.17
Fatty Acyl	4.41
Fatty Acyl	3.88
Fatty Acyl	4.24
Fatty Acyl	4.18
Fatty Acyl	3.73
Fatty Acyl	4.33
Fatty Acyl	3.85
Fatty Acyl	3.8
Fatty Acyl	3.31
Fatty Acyl	4.0
Fatty Acyl	4.37
Fatty Acyl	3.64
Fatty Acyl	4.1
Fatty Acyl	4.2
Fatty Acyl	4.41
Fatty Acyl	4.34
Fatty Acyl	4.07
Fatty Acyl	3.81
Fatty Acyl	4.67
Fatty Acyl	4.54
Fatty Acyl	4.11
Fatty Acyl	4.46
Fatty Acyl	4.47
Fatty Acyl	4.21
Fatty Acyl	3.88
Fatty Acyl	4.88
Fatty Acyl	3.73
Fatty Acyl	3.84
Fatty Acyl	4.12
Fatty Acyl	3.77
Fatty Acyl	3.96
Fatty Acyl	4.26
Fatty Acyl	4.62
Fatty Acyl	4.87
Fatty Acyl	4.77
Fatty Acyl	3.81
Fatty Acyl	3.68
Fatty Acyl	3.87
Fatty Acyl	3.93
Fatty Acyl	3.76
Fatty Acyl	4.08
Fatty Acyl	3.94
Fatty Acyl	3.83
Fatty Acyl	3.94
Fatty Acyl	3.77
Fatty Acyl	3.55
Fatty Acyl	3.9
Fatty Acyl	3.58
Fatty Acyl	4.05
Fatty Acyl	3.82
Fatty Acyl	3.94
Fatty Acyl	3.98
Fatty Acyl	5.64
Fatty Acyl	3.42
Fatty Acyl	3.85
Fatty Acyl	3.63
Fatty Acyl	3.52
Fatty Acyl	4.03
Fatty Acyl	3.73
Fatty Acyl	4.02
Fatty Acyl	4.02
Fatty Acyl	4.43
Fatty Acyl	5.9
Fatty Acyl	4.02
Fatty Acyl	3.86
Fatty Acyl	3.97
Fatty Acyl	3.86
Fatty Acyl	4.38
Fatty Acyl	3.94
Fatty Acyl	3.88
Fatty Acyl	4.09
Fatty Acyl	4.08
Fatty Acyl	4.16
Fatty Acyl	3.94
Fatty Acyl	3.93
Fatty Acyl	4.63
Fatty Acyl	4.41
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	4.29
Fatty Acyl	4.25
Fatty Acyl	4.65
Fatty Acyl	3.87
Fatty Acyl	4.24
Fatty Acyl	3.78
Fatty Acyl	3.94
Fatty Acyl	3.64
Fatty Acyl	3.58
Fatty Acyl	3.93
Fatty Acyl	3.85
Fatty Acyl	4.03
Fatty Acyl	3.58
Fatty Acyl	3.46
Fatty Acyl	3.62
Fatty Acyl	4.34
Fatty Acyl	3.63
Fatty Acyl	3.67
Fatty Acyl	3.83
Fatty Acyl	3.8
Fatty Acyl	3.8
Fatty Acyl	3.86
Fatty Acyl	3.86
