group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	88815.5	1.3249254350498576e-20	122	960	7.36880268255342e-20	True
sterol	Prenol	53133.5	5.021359648940529e-40	122	491	1.0544855262775112e-38	True
sterol	saccharo lipid	7042.5	1.8791102561093162e-20	122	63	7.892263075659129e-20	True
sterol	Spingo lipid	22.0	0.2781179552939187	122	1	0.3650298163232683	False
sterol	Fatty Acyl	40326.5	1.4035814633435085e-20	122	426	7.36880268255342e-20	True
sterol	Glycerophopspholipid	112.0	0.15485396604685425	122	1	0.25014871438337993	False
Polyketide	Prenol	328928.5	5.020233451210716e-35	960	491	5.271245123771253e-34	True
Polyketide	saccharo lipid	43769.5	2.5934521091704223e-09	960	63	7.780356327511268e-09	True
Polyketide	Spingo lipid	56.5	0.127300363087397	960	1	0.22277563540294476	False
Polyketide	Fatty Acyl	213465.5	0.19124706682094084	960	426	0.28687060023141125	False
Polyketide	Glycerophopspholipid	502.5	0.9367893793658055	960	1	0.9836288483340958	False
Prenol	saccharo lipid	15331.0	0.9101309393253326	491	63	0.9836288483340958	False
Prenol	Spingo lipid	15.5	0.10609984679148328	491	1	0.22277563540294476	False
Prenol	Fatty Acyl	67797.0	3.703824394477105e-20	491	426	1.2963385380669867e-19	True
Prenol	Glycerophopspholipid	137.5	0.4490870661400458	491	1	0.5547546111141742	False
saccharo lipid	Spingo lipid	1.0	0.10430923681417653	63	1	0.22277563540294476	False
saccharo lipid	Fatty Acyl	8124.5	4.252733446045625e-07	63	426	1.1163425295869767e-06	True
saccharo lipid	Glycerophopspholipid	9.0	0.23358994093508656	63	1	0.3270259173091212	False
Spingo lipid	Fatty Acyl	402.5	0.12518820677381953	1	426	0.22277563540294476	False
Spingo lipid	Glycerophopspholipid	1.0	1.0	1	1	1.0	False
Fatty Acyl	Glycerophopspholipid	225.5	0.9224437448392193	426	1	0.9836288483340958	False
