class	centdist
sterol	5.09
sterol	5.12
sterol	5.14
sterol	5.03
sterol	5.28
sterol	5.34
sterol	5.49
sterol	5.09
sterol	4.94
sterol	5.06
sterol	4.87
sterol	5.0
sterol	4.93
sterol	5.36
sterol	4.64
sterol	5.14
sterol	5.04
sterol	5.05
sterol	5.0
sterol	5.19
sterol	5.02
sterol	5.03
sterol	4.73
sterol	5.2
sterol	4.9
sterol	5.07
sterol	5.29
sterol	5.32
sterol	5.13
sterol	5.32
sterol	4.93
sterol	4.87
sterol	5.03
sterol	3.51
sterol	3.88
sterol	4.55
sterol	4.06
sterol	5.29
sterol	5.26
sterol	5.02
sterol	4.9
sterol	5.06
sterol	5.07
sterol	5.02
sterol	5.23
sterol	5.1
sterol	5.17
sterol	5.06
sterol	4.41
sterol	3.89
sterol	4.07
sterol	5.02
sterol	5.05
sterol	4.96
sterol	4.99
sterol	4.96
sterol	5.48
sterol	5.18
sterol	5.19
sterol	5.35
sterol	5.21
sterol	4.96
sterol	5.12
sterol	5.2
sterol	5.07
sterol	5.11
sterol	5.08
sterol	5.05
sterol	4.94
sterol	5.16
sterol	5.01
sterol	5.19
sterol	5.39
sterol	5.22
sterol	5.23
sterol	5.4
sterol	5.12
sterol	5.48
sterol	5.36
sterol	5.44
sterol	5.33
sterol	5.23
sterol	5.36
sterol	5.45
sterol	5.24
sterol	5.33
sterol	5.14
sterol	5.13
sterol	5.36
sterol	5.12
sterol	5.04
sterol	5.38
sterol	5.1
sterol	4.77
sterol	5.2
sterol	5.16
sterol	3.81
sterol	3.47
sterol	3.69
sterol	3.35
sterol	3.52
sterol	5.18
sterol	5.18
sterol	5.31
sterol	4.85
sterol	5.19
sterol	5.14
sterol	5.27
sterol	5.16
sterol	4.93
sterol	5.08
sterol	5.04
sterol	5.41
sterol	5.45
sterol	5.14
sterol	5.34
sterol	5.17
sterol	5.49
sterol	5.46
sterol	5.11
sterol	5.04
sterol	5.27
Polyketide	3.59
Polyketide	3.67
Polyketide	3.75
Polyketide	4.92
Polyketide	3.66
Polyketide	3.84
Polyketide	3.83
Polyketide	5.13
Polyketide	4.96
Polyketide	5.03
Polyketide	4.79
Polyketide	5.01
Polyketide	5.06
Polyketide	4.6
Polyketide	4.8
Polyketide	3.59
Polyketide	4.06
Polyketide	3.51
Polyketide	4.75
Polyketide	4.79
Polyketide	5.15
Polyketide	5.24
Polyketide	5.09
Polyketide	4.06
Polyketide	3.88
Polyketide	3.79
Polyketide	5.11
Polyketide	4.1
Polyketide	4.08
Polyketide	3.93
Polyketide	3.95
Polyketide	3.45
Polyketide	3.49
Polyketide	3.79
Polyketide	3.45
Polyketide	5.03
Polyketide	5.13
Polyketide	4.84
Polyketide	5.49
Polyketide	3.71
Polyketide	4.18
Polyketide	4.88
Polyketide	5.18
Polyketide	4.9
Polyketide	4.94
Polyketide	3.82
Polyketide	3.79
Polyketide	4.02
Polyketide	3.54
Polyketide	3.77
Polyketide	4.93
Polyketide	4.92
Polyketide	5.08
Polyketide	4.82
Polyketide	5.15
Polyketide	5.11
Polyketide	4.24
Polyketide	4.83
Polyketide	5.17
Polyketide	5.22
Polyketide	5.27
Polyketide	5.21
Polyketide	5.13
Polyketide	5.32
Polyketide	5.02
Polyketide	5.21
Polyketide	5.22
Polyketide	5.16
Polyketide	4.58
Polyketide	3.85
Polyketide	4.04
Polyketide	4.16
Polyketide	3.95
Polyketide	4.02
Polyketide	3.73
Polyketide	4.84
Polyketide	4.78
Polyketide	5.09
Polyketide	5.14
Polyketide	5.04
Polyketide	5.03
Polyketide	4.89
Polyketide	4.54
Polyketide	4.61
Polyketide	5.22
Polyketide	5.23
Polyketide	5.14
Polyketide	5.17
Polyketide	5.49
Polyketide	4.01
Polyketide	3.66
Polyketide	5.16
Polyketide	5.09
Polyketide	4.02
Polyketide	4.28
Polyketide	5.36
Polyketide	5.3
Polyketide	5.37
Polyketide	5.22
Polyketide	4.45
Polyketide	5.19
Polyketide	5.22
Polyketide	5.0
Polyketide	4.91
Polyketide	4.95
Polyketide	5.47
Polyketide	5.37
Polyketide	3.52
Polyketide	4.98
Polyketide	3.76
Polyketide	5.24
Polyketide	5.27
Polyketide	3.49
Polyketide	3.67
Polyketide	3.71
Polyketide	3.44
Polyketide	3.55
Polyketide	5.1
Polyketide	5.19
Polyketide	4.79
Polyketide	3.84
Polyketide	3.65
Polyketide	5.38
Polyketide	5.44
Polyketide	5.19
Polyketide	5.24
Polyketide	5.24
Polyketide	5.28
Polyketide	5.3
Polyketide	5.1
Polyketide	5.37
Polyketide	5.24
Polyketide	4.2
Polyketide	4.21
Polyketide	3.79
Polyketide	4.16
Polyketide	3.89
Polyketide	5.25
Polyketide	4.17
Polyketide	3.62
Polyketide	3.72
Polyketide	3.55
Polyketide	3.82
Polyketide	4.12
Polyketide	3.81
Polyketide	3.81
Polyketide	3.83
Polyketide	3.72
Polyketide	4.01
Polyketide	4.29
Polyketide	4.61
Polyketide	4.38
Polyketide	4.15
Polyketide	5.24
Polyketide	5.24
Polyketide	3.64
Polyketide	3.77
Polyketide	3.61
Polyketide	3.64
Polyketide	3.69
Polyketide	3.79
Polyketide	4.13
Polyketide	5.35
Polyketide	5.39
Polyketide	5.06
Polyketide	5.38
Polyketide	3.66
Polyketide	3.61
Polyketide	4.46
Polyketide	5.27
Polyketide	3.45
Polyketide	3.91
Polyketide	5.04
Polyketide	4.9
Polyketide	3.62
Polyketide	3.77
Polyketide	5.0
Polyketide	3.7
Polyketide	3.89
Polyketide	5.06
Polyketide	3.72
Polyketide	5.08
Polyketide	3.68
Polyketide	5.24
Polyketide	3.79
Polyketide	5.28
Polyketide	3.67
Polyketide	3.72
Polyketide	4.98
Polyketide	3.76
Polyketide	4.52
Polyketide	3.77
Polyketide	4.41
Polyketide	5.03
Polyketide	5.07
Polyketide	4.99
Polyketide	4.4
Polyketide	5.01
Polyketide	5.1
Polyketide	5.16
Polyketide	5.27
Polyketide	5.14
Polyketide	5.38
Polyketide	5.03
Polyketide	5.31
Polyketide	3.86
Polyketide	3.89
Polyketide	4.73
Polyketide	3.78
Polyketide	4.93
Polyketide	5.01
Polyketide	3.77
Polyketide	3.82
Polyketide	5.1
Polyketide	5.36
Polyketide	3.61
Polyketide	3.58
Polyketide	3.66
Polyketide	3.54
Polyketide	3.68
Polyketide	3.39
Polyketide	3.62
Polyketide	3.65
Polyketide	3.91
Polyketide	3.71
Polyketide	4.98
Polyketide	4.91
Polyketide	5.06
Polyketide	4.09
Polyketide	3.85
Polyketide	5.17
Polyketide	5.03
Polyketide	4.72
Polyketide	5.1
Polyketide	4.77
Polyketide	5.06
Polyketide	4.79
Polyketide	5.01
Polyketide	4.81
Polyketide	5.1
Polyketide	4.74
Polyketide	5.05
Polyketide	4.82
Polyketide	5.18
Polyketide	4.84
Polyketide	5.03
Polyketide	4.8
Polyketide	5.23
Polyketide	5.1
Polyketide	3.67
Polyketide	5.37
Polyketide	5.4
Polyketide	3.83
Polyketide	4.44
Polyketide	4.31
Polyketide	3.81
Polyketide	4.31
Polyketide	4.36
Polyketide	4.06
Polyketide	4.35
Polyketide	3.44
Polyketide	3.86
Polyketide	3.65
Polyketide	3.55
Polyketide	3.5
Polyketide	4.89
Polyketide	5.11
Polyketide	5.11
Polyketide	5.08
Polyketide	4.55
Polyketide	3.82
Polyketide	3.83
Polyketide	4.11
Polyketide	3.96
Polyketide	3.86
Polyketide	3.7
Polyketide	4.98
Polyketide	4.69
Polyketide	3.66
Polyketide	3.9
Polyketide	4.89
Polyketide	5.38
Polyketide	4.4
Polyketide	4.08
Polyketide	4.22
Polyketide	3.94
Polyketide	3.87
Polyketide	3.88
Polyketide	3.42
Polyketide	3.88
Polyketide	3.49
Polyketide	3.45
Polyketide	3.48
Polyketide	3.56
Polyketide	3.81
Polyketide	3.53
Polyketide	4.71
Polyketide	5.24
Polyketide	4.53
Polyketide	3.9
Polyketide	4.7
Polyketide	3.74
Polyketide	3.98
Polyketide	3.85
Polyketide	4.12
Polyketide	4.27
Polyketide	3.93
Polyketide	3.76
Polyketide	3.72
Polyketide	3.72
Polyketide	3.99
Polyketide	3.78
Polyketide	3.91
Polyketide	4.25
Polyketide	3.78
Polyketide	3.82
Polyketide	4.15
Polyketide	3.78
Polyketide	3.81
Polyketide	3.69
Polyketide	3.79
Polyketide	3.7
Polyketide	3.9
Polyketide	4.09
Polyketide	3.84
Polyketide	4.13
Polyketide	3.54
Polyketide	3.61
Polyketide	3.5
Polyketide	3.6
Polyketide	4.99
Polyketide	3.96
Polyketide	4.31
Polyketide	5.37
Polyketide	3.85
Polyketide	3.98
Polyketide	4.82
Polyketide	4.47
Polyketide	4.26
Polyketide	3.89
Polyketide	4.2
Polyketide	3.62
Polyketide	3.66
Polyketide	5.19
Polyketide	5.05
Polyketide	4.18
Polyketide	3.79
Polyketide	3.84
Polyketide	3.73
Polyketide	3.83
Polyketide	3.77
Polyketide	3.8
Polyketide	3.75
Polyketide	3.77
Polyketide	3.76
Polyketide	3.77
Polyketide	3.73
Polyketide	3.75
Polyketide	3.82
Polyketide	3.8
Polyketide	3.7
Polyketide	4.11
Polyketide	4.29
Polyketide	3.76
Polyketide	3.72
Polyketide	3.82
Polyketide	3.75
Polyketide	4.45
Polyketide	5.07
Polyketide	3.77
Polyketide	3.72
Polyketide	3.8
Polyketide	3.91
Polyketide	5.45
Polyketide	5.26
Polyketide	5.08
Polyketide	4.95
Polyketide	5.06
Polyketide	4.01
Polyketide	4.07
Polyketide	3.96
Polyketide	4.09
Polyketide	4.04
Polyketide	4.0
Polyketide	3.99
Polyketide	4.03
Polyketide	5.0
Polyketide	4.25
Polyketide	3.95
Polyketide	3.94
Polyketide	3.8
Polyketide	4.36
Polyketide	3.82
Polyketide	3.74
Polyketide	3.57
Polyketide	3.87
