group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	94029.5	1.0368033516906211e-27	122	960	7.257623461834348e-27	True
sterol	Prenol	53583.0	1.6012376998922176e-41	122	491	3.362599169773657e-40	True
sterol	saccharo lipid	7065.0	1.0246053891457683e-20	122	63	5.3791782930152836e-20	True
sterol	Spingo lipid	97.0	0.31738815481370264	122	1	0.41657195319298473	False
sterol	Fatty Acyl	43644.5	2.3116617761279957e-30	122	426	2.4272448649343955e-29	True
sterol	Glycerophopspholipid	110.0	0.17194586916901156	122	1	0.2777818647258331	False
Polyketide	Prenol	295661.0	1.9861631107069785e-15	960	491	8.34188506496931e-15	True
Polyketide	saccharo lipid	41911.5	2.785733191016549e-07	960	63	9.750066168557924e-07	True
Polyketide	Spingo lipid	290.0	0.4945510836059507	960	1	0.5769762642069425	False
Polyketide	Fatty Acyl	219261.5	0.03156405153092547	960	426	0.0662845082149435	False
Polyketide	Glycerophopspholipid	434.0	0.8697206955473605	960	1	0.9314572493392029	False
Prenol	saccharo lipid	18113.5	0.026924208214723994	491	63	0.06282315250102266	False
Prenol	Spingo lipid	51.0	0.17196020197313477	491	1	0.2777818647258331	False
Prenol	Fatty Acyl	86193.5	4.284506215789912e-06	491	426	1.2853518647369737e-05	True
Prenol	Glycerophopspholipid	86.5	0.2644303407879337	491	1	0.39664551118190056	False
saccharo lipid	Spingo lipid	3.0	0.125	63	1	0.23863636363636362	False
saccharo lipid	Fatty Acyl	9280.5	7.723125210825672e-05	63	426	0.00020273203678417392	True
saccharo lipid	Glycerophopspholipid	9.0	0.3125	63	1	0.41657195319298473	False
Spingo lipid	Fatty Acyl	313.0	0.41954430388495834	1	426	0.5182606106814192	False
Spingo lipid	Glycerophopspholipid	1.0	1.0	1	1	1.0	False
Fatty Acyl	Glycerophopspholipid	195.0	0.8871021422278123	426	1	0.9314572493392029	False
