class	pi-stacking_angle
sterol	73.97
sterol	81.08
sterol	80.85
sterol	78.15
sterol	88.03
sterol	88.82
sterol	80.99
sterol	86.68
sterol	67.02
sterol	75.85
sterol	72.43
sterol	85.25
sterol	88.67
sterol	71.56
sterol	27.23
sterol	69.11
sterol	80.31
sterol	85.2
sterol	69.39
sterol	75.46
sterol	82.27
sterol	82.43
sterol	60.87
sterol	81.68
sterol	87.06
sterol	86.42
sterol	80.22
sterol	85.01
sterol	84.85
sterol	82.89
sterol	88.52
sterol	87.71
sterol	87.22
sterol	7.45
sterol	10.61
sterol	29.36
sterol	18.22
sterol	77.25
sterol	89.7
sterol	89.77
sterol	69.69
sterol	88.84
sterol	87.7
sterol	89.08
sterol	88.54
sterol	87.64
sterol	87.74
sterol	89.17
sterol	22.84
sterol	22.6
sterol	20.61
sterol	89.13
sterol	85.06
sterol	83.59
sterol	80.45
sterol	80.74
sterol	78.22
sterol	86.16
sterol	87.43
sterol	83.4
sterol	87.87
sterol	83.65
sterol	89.34
sterol	89.7
sterol	88.97
sterol	88.39
sterol	87.21
sterol	89.3
sterol	88.69
sterol	80.16
sterol	86.03
sterol	84.21
sterol	87.44
sterol	86.28
sterol	86.17
sterol	84.13
sterol	89.36
sterol	87.82
sterol	83.68
sterol	83.37
sterol	80.22
sterol	85.16
sterol	89.27
sterol	88.43
sterol	83.75
sterol	87.91
sterol	86.17
sterol	87.84
sterol	89.79
sterol	88.23
sterol	89.67
sterol	86.27
sterol	82.5
sterol	77.6
sterol	85.23
sterol	82.16
sterol	1.89
sterol	1.53
sterol	1.61
sterol	3.28
sterol	1.97
sterol	88.16
sterol	84.22
sterol	89.81
sterol	71.78
sterol	89.59
sterol	89.42
sterol	84.06
sterol	84.24
sterol	70.52
sterol	85.84
sterol	82.29
sterol	88.57
sterol	80.32
sterol	83.05
sterol	88.76
sterol	89.83
sterol	67.85
sterol	70.62
sterol	89.51
sterol	75.37
sterol	73.11
Polyketide	4.59
Polyketide	4.1
Polyketide	13.5
Polyketide	88.06
Polyketide	5.41
Polyketide	5.18
Polyketide	19.83
Polyketide	76.72
Polyketide	84.68
Polyketide	85.0
Polyketide	85.85
Polyketide	79.11
Polyketide	82.57
Polyketide	63.72
Polyketide	64.13
Polyketide	5.14
Polyketide	9.33
Polyketide	8.12
Polyketide	83.55
Polyketide	81.24
Polyketide	81.35
Polyketide	83.89
Polyketide	79.75
Polyketide	12.47
Polyketide	9.03
Polyketide	11.38
Polyketide	77.67
Polyketide	9.94
Polyketide	17.73
Polyketide	7.41
Polyketide	10.96
Polyketide	9.42
Polyketide	11.67
Polyketide	12.1
Polyketide	11.17
Polyketide	86.15
Polyketide	72.09
Polyketide	60.75
Polyketide	69.16
Polyketide	8.29
Polyketide	5.85
Polyketide	70.79
Polyketide	64.6
Polyketide	65.28
Polyketide	80.01
Polyketide	1.79
Polyketide	1.43
Polyketide	10.53
Polyketide	10.74
Polyketide	14.54
Polyketide	81.86
Polyketide	79.84
Polyketide	71.5
Polyketide	72.94
Polyketide	88.56
Polyketide	82.57
Polyketide	23.3
Polyketide	88.57
Polyketide	85.89
Polyketide	85.53
Polyketide	80.52
Polyketide	85.99
Polyketide	78.83
Polyketide	75.84
Polyketide	88.53
Polyketide	89.92
Polyketide	89.15
Polyketide	73.34
Polyketide	66.56
Polyketide	28.16
Polyketide	26.71
Polyketide	4.46
Polyketide	4.67
Polyketide	1.3
Polyketide	1.41
Polyketide	79.58
Polyketide	79.8
Polyketide	73.61
Polyketide	86.37
Polyketide	86.39
Polyketide	84.74
Polyketide	80.73
Polyketide	76.05
Polyketide	82.05
Polyketide	79.44
Polyketide	75.97
Polyketide	72.82
Polyketide	72.87
Polyketide	85.61
Polyketide	8.75
Polyketide	11.22
Polyketide	83.0
Polyketide	86.3
Polyketide	65.46
Polyketide	25.78
Polyketide	79.59
Polyketide	77.16
Polyketide	76.6
Polyketide	81.81
Polyketide	25.96
Polyketide	83.55
Polyketide	83.86
Polyketide	89.2
Polyketide	87.85
Polyketide	85.98
Polyketide	85.99
Polyketide	85.56
Polyketide	6.96
Polyketide	78.6
Polyketide	9.42
Polyketide	85.18
Polyketide	88.95
Polyketide	3.01
Polyketide	2.32
Polyketide	1.26
Polyketide	3.51
Polyketide	3.48
Polyketide	88.45
Polyketide	88.79
Polyketide	63.33
Polyketide	24.33
Polyketide	23.45
Polyketide	87.8
Polyketide	63.12
Polyketide	78.42
Polyketide	81.22
Polyketide	82.41
Polyketide	88.51
Polyketide	72.59
Polyketide	86.56
Polyketide	86.07
Polyketide	78.25
Polyketide	26.66
Polyketide	25.15
Polyketide	23.92
Polyketide	12.77
Polyketide	11.18
Polyketide	85.56
Polyketide	22.3
Polyketide	4.64
Polyketide	4.4
Polyketide	7.24
Polyketide	8.23
Polyketide	9.52
Polyketide	11.16
Polyketide	3.46
Polyketide	26.29
Polyketide	13.23
Polyketide	10.09
Polyketide	18.91
Polyketide	80.18
Polyketide	29.56
Polyketide	13.79
Polyketide	73.17
Polyketide	69.8
Polyketide	7.45
Polyketide	5.49
Polyketide	8.8
Polyketide	5.78
Polyketide	4.11
Polyketide	15.28
Polyketide	87.85
Polyketide	80.77
Polyketide	77.82
Polyketide	76.44
Polyketide	83.16
Polyketide	12.84
Polyketide	12.89
Polyketide	26.81
Polyketide	70.42
Polyketide	6.07
Polyketide	5.38
Polyketide	63.19
Polyketide	85.76
Polyketide	5.18
Polyketide	17.18
Polyketide	86.73
Polyketide	3.46
Polyketide	18.88
Polyketide	78.24
Polyketide	8.15
Polyketide	74.18
Polyketide	6.5
Polyketide	83.7
Polyketide	8.25
Polyketide	87.11
Polyketide	5.21
Polyketide	4.73
Polyketide	84.38
Polyketide	1.93
Polyketide	89.91
Polyketide	14.35
Polyketide	26.21
Polyketide	79.72
Polyketide	80.17
Polyketide	79.86
Polyketide	80.02
Polyketide	76.7
Polyketide	77.38
Polyketide	77.97
Polyketide	78.02
Polyketide	68.44
Polyketide	68.59
Polyketide	61.74
Polyketide	61.32
Polyketide	16.62
Polyketide	18.82
Polyketide	70.91
Polyketide	9.52
Polyketide	75.56
Polyketide	74.5
Polyketide	4.98
Polyketide	4.47
Polyketide	84.19
Polyketide	83.68
Polyketide	3.59
Polyketide	2.58
Polyketide	7.58
Polyketide	5.96
Polyketide	3.96
Polyketide	3.75
Polyketide	8.09
Polyketide	7.56
Polyketide	7.12
Polyketide	6.03
Polyketide	85.47
Polyketide	85.51
Polyketide	88.04
Polyketide	4.05
Polyketide	18.18
Polyketide	84.75
Polyketide	70.72
Polyketide	60.56
Polyketide	70.34
Polyketide	66.12
Polyketide	72.94
Polyketide	64.91
Polyketide	74.93
Polyketide	68.4
Polyketide	69.07
Polyketide	68.35
Polyketide	75.3
Polyketide	67.46
Polyketide	79.68
Polyketide	65.93
Polyketide	78.98
Polyketide	66.03
Polyketide	73.97
Polyketide	85.06
Polyketide	10.05
Polyketide	68.53
Polyketide	67.86
Polyketide	19.36
Polyketide	64.96
Polyketide	13.29
Polyketide	13.15
Polyketide	21.89
Polyketide	21.66
Polyketide	10.62
Polyketide	10.73
Polyketide	3.6
Polyketide	3.33
Polyketide	6.22
Polyketide	6.27
Polyketide	7.37
Polyketide	75.0
Polyketide	76.33
Polyketide	80.23
Polyketide	65.29
Polyketide	79.59
Polyketide	14.47
Polyketide	4.66
Polyketide	12.97
Polyketide	1.68
Polyketide	10.61
Polyketide	10.07
Polyketide	85.87
Polyketide	85.08
Polyketide	9.42
Polyketide	8.64
Polyketide	70.55
Polyketide	66.96
Polyketide	67.05
Polyketide	17.69
Polyketide	17.78
Polyketide	12.82
Polyketide	19.03
Polyketide	21.26
Polyketide	6.13
Polyketide	6.78
Polyketide	8.24
Polyketide	10.05
Polyketide	9.85
Polyketide	10.09
Polyketide	11.3
Polyketide	11.37
Polyketide	61.94
Polyketide	87.28
Polyketide	83.2
Polyketide	20.3
Polyketide	20.31
Polyketide	20.16
Polyketide	5.0
Polyketide	2.44
Polyketide	20.82
Polyketide	26.82
Polyketide	15.64
Polyketide	15.69
Polyketide	14.63
Polyketide	5.02
Polyketide	8.95
Polyketide	7.44
Polyketide	9.07
Polyketide	8.11
Polyketide	8.28
Polyketide	9.4
Polyketide	12.21
Polyketide	8.52
Polyketide	11.44
Polyketide	12.25
Polyketide	12.03
Polyketide	9.2
Polyketide	8.17
Polyketide	10.47
Polyketide	8.7
Polyketide	11.53
Polyketide	2.98
Polyketide	2.72
Polyketide	1.25
Polyketide	0.97
Polyketide	19.51
Polyketide	21.54
Polyketide	22.25
Polyketide	83.75
Polyketide	14.76
Polyketide	12.8
Polyketide	85.09
Polyketide	19.21
Polyketide	27.85
Polyketide	15.82
Polyketide	16.12
Polyketide	6.56
Polyketide	21.98
Polyketide	60.89
Polyketide	64.87
Polyketide	19.26
Polyketide	11.87
Polyketide	10.0
Polyketide	4.93
