group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
sterol	Polyketide	341007.5	0.0009482133184195531	1077	698	0.001206816950715795	True
sterol	Prenol	840564.5	1.21894349040593e-42	1077	2210	5.6884029552276734e-42	True
sterol	saccharo lipid	179780.0	1.7414135305600077e-59	1077	631	1.2189894713920054e-58	True
sterol	Spingo lipid	36116.5	7.984362856076849e-11	1077	108	1.4904143998010118e-10	True
sterol	Fatty Acyl	5303012.5	1.578336803996278e-33	1077	12644	5.524178813986973e-33	True
sterol	Glycerophopspholipid	4164527.0	1.038470192085963e-95	1077	12486	1.4538582689203482e-94	True
sterol	Glycerolipid	428472.0	3.619602605577305e-86	1077	1463	3.3782957652054847e-85	True
Polyketide	Prenol	647268.0	1.4217479659837743e-10	698	2210	2.4880589404716053e-10	True
Polyketide	saccharo lipid	142329.0	7.297890815640218e-29	698	631	1.8576449348902375e-28	True
Polyketide	Spingo lipid	28557.5	4.975333582436814e-05	698	108	6.633778109915752e-05	True
Polyketide	Fatty Acyl	3955999.5	4.00987432244258e-06	698	12644	6.237582279355124e-06	True
Polyketide	Glycerophopspholipid	3233135.5	1.459183777033229e-30	698	12486	4.085714575693041e-30	True
Polyketide	Glycerolipid	343526.5	7.366133565447135e-35	698	1463	2.946453426178854e-34	True
Prenol	saccharo lipid	531163.5	6.275973848842546e-20	2210	631	1.2551947697685091e-19	True
Prenol	Spingo lipid	107672.5	0.08581411294319344	2210	108	0.09001091483881828	False
Prenol	Fatty Acyl	14825679.5	4.388673640669532e-06	2210	12644	6.4675190494077315e-06	True
Prenol	Glycerophopspholipid	12066244.0	4.732741420489079e-21	2210	12486	1.0193596905668784e-20	True
Prenol	Glycerolipid	1281997.0	2.036678477341373e-26	2210	1463	4.752249780463204e-26	True
saccharo lipid	Spingo lipid	38759.5	0.0222858696816853	631	108	0.026000181295299515	True
saccharo lipid	Fatty Acyl	5090072.5	1.0323069016293597e-31	631	12644	3.2116214717357853e-31	True
saccharo lipid	Glycerophopspholipid	4398916.0	7.336774917726099e-07	631	12486	1.2084099864490047e-06	True
saccharo lipid	Glycerolipid	483317.5	0.08679623930886048	631	1463	0.09001091483881828	False
Spingo lipid	Fatty Acyl	787856.5	0.005808743884750995	108	12644	0.007071514294479472	True
Spingo lipid	Glycerophopspholipid	654654.0	0.6025669033322213	108	12486	0.6025669033322213	False
Spingo lipid	Glycerolipid	70206.5	0.05321070883283815	108	1463	0.059595993892778726	False
Fatty Acyl	Glycerophopspholipid	65412292.5	2.509640635997232e-122	12644	12486	7.02699378079225e-121	True
Fatty Acyl	Glycerolipid	6951217.0	9.646875666186944e-55	12644	1463	5.402250373064689e-54	True
Glycerophopspholipid	Glycerolipid	8468958.5	5.1052640914309944e-06	12486	1463	7.147369728003392e-06	True
