interaction_type	group_1	group_2	U_statistic	p_value	n1	n2	p_adj_FDR_BH	significant_FDR_0.05
hydrophobic	sterol	sphingolipid	591520.0	1.0320928476196682e-08	6797	224	1.313572715152305e-08	True
hydrophobic	sterol	saccharolipid	1575019.0	1.4574224470343193e-36	6797	329	2.7205219011307293e-36	True
hydrophobic	sterol	prenol	41144078.5	1.5643467076460656e-103	6797	14798	3.65014231784082e-103	True
hydrophobic	sterol	polyketide	8152077.5	3.112650792952813e-10	6797	2616	4.1502010572704175e-10	True
hydrophobic	sterol	glycerophospholipid	135943456.0	2.7158205118738147e-198	6797	32546	1.0863282047495259e-197	True
hydrophobic	sterol	glycerolipid	29491712.5	8.30173753768205e-118	6797	7088	2.324486510550974e-117	True
hydrophobic	sterol	fattyacyl	141780424.5	0.0	6797	30138	0.0	True
hydrophobic	sphingolipid	saccharolipid	53040.0	6.782330894486299e-19	224	329	9.995013949769283e-19	True
hydrophobic	sphingolipid	prenol	1832894.5	0.006214797139046536	224	14798	0.006692858457434731	True
hydrophobic	sphingolipid	polyketide	344694.5	1.024611039917398e-05	224	2616	1.1475643647074859e-05	True
hydrophobic	sphingolipid	glycerophospholipid	4944532.0	1.2300267641863287e-20	224	32546	2.025926435130424e-20	True
hydrophobic	sphingolipid	glycerolipid	1073246.5	1.1179686134410082e-19	224	7088	1.7390622875749013e-19	True
hydrophobic	sphingolipid	fattyacyl	4866620.5	2.7254649708856153e-31	224	30138	4.769563699049827e-31	True
hydrophobic	saccharolipid	prenol	1145038.5	2.286687932936316e-61	329	14798	4.9251740094012955e-61	True
hydrophobic	saccharolipid	polyketide	229103.5	4.3765320583718544e-44	329	2616	8.753064116743709e-44	True
hydrophobic	saccharolipid	glycerophospholipid	4593939.0	7.194953470024905e-06	329	32546	8.394112381695724e-06	True
hydrophobic	saccharolipid	glycerolipid	952582.5	1.3141795955867417e-08	329	7088	1.599870812018642e-08	True
hydrophobic	saccharolipid	fattyacyl	5041230.5	0.5912862493556711	329	30138	0.5912862493556711	False
hydrophobic	prenol	polyketide	21335044.0	4.952582117694001e-17	14798	2616	6.933614964771602e-17	True
hydrophobic	prenol	glycerophospholipid	330885747.5	0.0	14798	32546	0.0	True
hydrophobic	prenol	glycerolipid	72220951.0	0.0	14798	7088	0.0	True
hydrophobic	prenol	fattyacyl	336199065.0	0.0	14798	30138	0.0	True
hydrophobic	polyketide	glycerophospholipid	55128303.0	2.0577595677750452e-142	2616	32546	7.202158487212659e-142	True
hydrophobic	polyketide	glycerolipid	12013493.5	5.611370362884743e-113	2616	7088	1.4283488196433891e-112	True
hydrophobic	polyketide	fattyacyl	56817869.0	0.0	2616	30138	0.0	True
hydrophobic	glycerophospholipid	glycerolipid	113056382.0	0.00806977903498587	32546	7088	0.008368659739985346	True
hydrophobic	glycerophospholipid	fattyacyl	560875854.0	5.749618445586726e-219	32546	30138	2.683155274607139e-218	True
hydrophobic	glycerolipid	fattyacyl	125572578.5	1.1991482456278704e-121	7088	30138	3.7306834308422635e-121	True
hbond	sterol	sphingolipid	414328.5	1.9606278454728578e-38	6797	224	2.744878983662001e-38	True
hbond	sterol	saccharolipid	82194.0	1.469190299804725e-216	6797	329	4.5708142660591445e-216	True
hbond	sterol	prenol	57366982.5	2.0951920858378047e-91	6797	14798	4.1903841716756095e-91	True
hbond	sterol	polyketide	5009908.0	8.010944354066507e-272	6797	2616	3.73844069856437e-271	True
hbond	sterol	glycerophospholipid	113897937.5	1.0429992640174428e-05	6797	32546	1.2168324746870167e-05	True
hbond	sterol	glycerolipid	24830876.5	0.00037338719796328024	6797	7088	0.00041819366171887384	True
hbond	sterol	fattyacyl	101390968.5	0.14102777112809423	6797	30138	0.1518760612148707	False
hbond	sphingolipid	saccharolipid	6967.0	2.3093006966471307e-59	224	329	3.8035540885952745e-59	True
hbond	sphingolipid	prenol	2568290.5	5.918585484306035e-73	224	14798	1.1048026237371266e-72	True
hbond	sphingolipid	polyketide	295826.5	0.8066143283757057	224	2616	0.8364889331303614	False
hbond	sphingolipid	glycerophospholipid	5383194.0	5.2143513931220684e-45	224	32546	8.111213278189883e-45	True
hbond	sphingolipid	glycerolipid	1180657.0	5.5517480274968916e-45	224	7088	8.181523408942787e-45	True
hbond	sphingolipid	fattyacyl	4754263.5	7.481455175608783e-33	224	30138	9.975273567478378e-33	True
hbond	saccharolipid	prenol	4710906.5	1.0000326206948166e-295	329	14798	5.600182675890973e-295	True
hbond	saccharolipid	polyketide	778391.0	5.7352079220734735e-130	329	2616	1.338215181817144e-129	True
hbond	saccharolipid	glycerophospholipid	10325256.5	4.1716953744939575e-240	329	32546	1.668678149797583e-239	True
hbond	saccharolipid	glycerolipid	2255952.5	5.638043954495119e-227	329	7088	1.9733153840732918e-226	True
hbond	saccharolipid	fattyacyl	9350742.5	1.979188169093783e-214	329	30138	5.541726873462592e-214	True
hbond	prenol	polyketide	9166893.5	0.0	14798	2616	0.0	True
hbond	prenol	glycerophospholipid	213924318.0	5.847124622641284e-117	14798	32546	1.2593806879535073e-116	True
hbond	prenol	glycerolipid	46510350.0	3.0464298818210267e-62	14798	7088	5.331252293186797e-62	True
hbond	prenol	fattyacyl	191458171.5	6.359851300753712e-180	14798	30138	1.618871240191854e-179	True
hbond	polyketide	glycerophospholipid	62012776.5	0.0	2616	32546	0.0	True
hbond	polyketide	glycerolipid	13606446.0	0.0	2616	7088	0.0	True
hbond	polyketide	fattyacyl	54760010.5	5.7873106525192405e-297	2616	30138	4.0511174567634685e-296	True
hbond	glycerophospholipid	glycerolipid	115392203.0	0.9485995434517128	32546	7088	0.9485995434517128	False
hbond	glycerophospholipid	fattyacyl	471980353.5	1.5513478572946114e-20	32546	30138	1.974442727465869e-20	True
hbond	glycerolipid	fattyacyl	102707063.0	1.0746682168872474e-08	7088	30138	1.3082917422975185e-08	True
saltbridge	sterol	sphingolipid	669447.0	9.115716848793631e-08	6797	224	1.1601821443919166e-07	True
saltbridge	sterol	saccharolipid	324594.0	1.783469084649084e-265	6797	329	1.2484283592543588e-264	True
saltbridge	sterol	prenol	53419105.5	1.4765120999539343e-56	6797	14798	2.7561559199140107e-56	True
saltbridge	sterol	polyketide	8292342.0	5.05713879157309e-17	6797	2616	7.866660342447029e-17	True
saltbridge	sterol	glycerophospholipid	96253317.5	7.543959506970951e-118	6797	32546	1.920280601774424e-117	True
saltbridge	sterol	glycerolipid	23020535.5	1.613442617740417e-13	6797	7088	2.258819664836584e-13	True
saltbridge	sterol	fattyacyl	88804719.5	1.286858495407191e-121	6797	30138	3.603203787140135e-121	True
saltbridge	sphingolipid	saccharolipid	15792.5	2.9989933315092338e-33	224	329	5.248238330141159e-33	True
saltbridge	sphingolipid	prenol	1944514.0	1.903868798603202e-27	224	14798	3.1357839035817447e-27	True
saltbridge	sphingolipid	polyketide	310006.5	0.03523464371587094	224	2616	0.03946280096177545	True
saltbridge	sphingolipid	glycerophospholipid	3642438.0	0.9796830487582485	224	32546	0.9796830487582485	False
saltbridge	sphingolipid	glycerolipid	857605.0	0.0017155109672927673	224	7088	0.002088448134095543	True
saltbridge	sphingolipid	fattyacyl	3356327.0	0.8469347520049014	224	30138	0.8783027057828607	False
saltbridge	saccharolipid	prenol	4202123.0	0.0	329	14798	0.0	True
saltbridge	saccharolipid	polyketide	715380.0	2.5747251710064516e-145	329	2616	1.2015384131363441e-144	True
saltbridge	saccharolipid	glycerophospholipid	8611269.5	8.600848926235471e-138	329	32546	3.010297124182415e-137	True
saltbridge	saccharolipid	glycerolipid	1969281.0	6.964106178038049e-206	329	7088	3.8998994597013073e-205	True
saltbridge	saccharolipid	fattyacyl	7925488.0	3.683219863885951e-132	329	30138	1.1458906243200734e-131	True
saltbridge	prenol	polyketide	16890752.0	2.8433228092204847e-112	14798	2616	6.634419888181131e-112	True
