LeidenCluster	LC000	LC001	LC002	LC003	LC004	LC005	LC006	LC007	LC008	LC009	LC010	LC011	LC012	LC013	LC014	LC015	LC016	LC017	LC018	LC019	LC020	LC021	LC022	LC023	LC024	LC025	LC026	LC027	LC028	LC029	LC030	LC031	LC032	LC033	LC034	LC035	LC036	LC037	LC038	LC039	LC040	LC041	LC042	LC043	LC044	LC045	LC046	LC047	LC048	LC049	LC050	LC051	LC052	LC053	LC054	LC055	LC056	LC057	LC058	LC059	LC060	LC061	LC062	LC063	LC064	LC065	LC066	LC067	LC068	LC069	LC070	LC071	LC072	LC073	LC074	LC075	LC076	LC077	LC078	LC079	LC080	LC081	LC082	LC083	LC084	LC085	LC086	LC087	LC088	LC089	LC090	LC091	LC092	LC093	LC094	LC095	LC096	LC097	LC098	LC099	LC100	LC101
LC000	0.006057138020903146	0.0015884146574569806	0.002214394921566304	0.0004656595925817442	0.0005717615814088369	0.0005218774632499828	0.0002003273772691117	0.0005587231416160775	9.32094638466667e-05	0.0	0.0	0.0005487663551329252	0.0	0.002322440656911452	0.003358311955481544	0.0013966790895052084	0.0032472251942510964	0.0007749833307800611	0.0	0.0008637588180002643	0.002512737528235388	0.00035722260844959456	0.0008184365907875854	0.0013526506909867116	0.0	0.0005330439892324864	0.00012151754866941	0.0006429419283460244	0.002120131750403221	2.432102760347787e-05	0.0033726851108316545	0.0004441928867924667	0.0006978388047942287	0.001385526811629212	0.0018317981717907855	0.00025353592695305977	0.0001466753628364433	0.0006831985058556724	0.0	0.0004342829590965793	0.0	7.607942941853353e-05	0.001682677411041763	0.0005148172773435436	0.0	0.0	0.0005337174184229533	3.131396604029785e-05	0.0008769871493451711	0.0	0.0009528243854169598	0.00019003794396482845	0.0	0.00026049370309478925	0.0	0.0	0.0	0.0	0.0	0.00011252639782137689	0.000544379062438448	1.0390445849513818e-05	0.0	0.006283580854835533	0.005291275767324615	0.005586503115184061	0.00038060744962362233	0.0010635020681504825	0.0	0.0003749748608274675	0.0	0.0	0.0	2.646315238478122e-05	0.0	0.0	0.00016526492022848137	0.00021763936822213277	0.0009900734745524975	0.0	0.004275918720555898	0.0	0.0	6.176088241087257e-05	0.0	0.0	0.0	0.0	0.0	0.00023315053440179138	0.0	0.0009543896220427636	0.002934350994681899	6.764068637106212e-06	0.0	0.0	0.0	0.0	0.0	0.00026456765806578687	0.0018205852099884008	0.002410779144038943
LC001	0.001536682158397049	0.05035830759620351	0.002912970955940412	0.0011890906644861903	0.035498209590129524	0.0008137921331037027	0.0003594939159292036	0.029130710615257276	0.00019106215944938342	0.0	0.0	0.0	0.0	0.004048862051792829	0.00155384072543618	0.0008526008056494928	0.0006717764458081964	0.0	0.0	0.013981309263521287	0.0014415789107833656	2.9961587708066582e-06	5.3167694805194805e-05	2.2107558139534885e-05	0.0	8.584090909090908e-06	3.533284705159705e-06	0.00024959356866537715	4.68855143966354e-05	0.0	0.0002964932983682984	1.0072026022304833e-05	0.0	0.008356030445969125	0.0025777177169421486	1.1560231593501556e-05	0.0	2.220557851239669e-05	0.0	0.0	0.0	0.0016062225877192984	0.007974581948338005	0.0	0.0	0.0	0.00800976736111111	0.0	0.0005510099185496584	0.0	0.002228810944264069	0.00020188786449399656	0.0	7.503865182436611e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.897153351698806e-06	7.249401913875598e-06	2.451457509881423e-05	0.0028526417332667333	0.0	4.30921052631579e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011585776825633381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5743371212121214e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022728884659090908	0.0	0.00019679383116883117
LC002	0.0022093473832453295	0.002545034893667421	0.029397801892286714	0.008888547289236645	0.0005143491619215532	0.00475729518363522	4.413847055186326e-06	0.0008772512615401378	2.089654202415158e-07	0.0	0.0	0.0	0.0	0.002378905362914295	0.0012861314125622175	0.006141196709741916	0.0012906757528498116	1.875227862489009e-05	0.0	0.004247551003056445	0.0011293816758861143	2.0384286028854075e-05	5.638861775167508e-05	0.00013043555836845716	0.0	3.1592356687898095e-06	1.9102411618335186e-06	0.0007701816990887325	4.404939757298259e-05	0.0	0.0003456681322923361	2.1495685192320525e-05	2.8135667925571908e-05	0.0006362674285214846	0.010598899694688635	0.0	0.0	0.00013646182120289016	0.0	0.0	0.0	0.0017397380611343064	0.0031440313854332203	5.5833462793226666e-05	0.0	0.0	0.0024376613266422183	0.0	0.0002130257622058366	0.0	3.8278324647751406e-05	0.0	0.0	0.00011245996951183483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.865083960625361e-06	2.199996490673966e-05	0.0008532196385578886	1.705017497041867e-05	0.00036305732484076433	0.0	4.440618047724988e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003874832695757829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7590893853046054e-05	0.0	0.0	0.0008560509554140128	0.0	0.0	0.0	0.0	0.0	0.0	0.0018021482339316735	0.012694849771601364	1.2515509967739266e-05
LC003	0.0008790646794590854	0.0014879121519624288	0.014282590411601858	0.17937383706346288	0.0008209618112012255	0.0049534764741422785	0.0	0.000674011463938615	0.0	0.0	0.0	0.0	0.0	0.003507496116395427	0.0018496795010374348	0.00920545638301022	0.00027580534844250045	0.0	0.0	0.0012384803898671897	0.0015777370063594252	0.0	0.0	9.833376240739151e-05	0.0	2.0855268552685524e-05	0.0	0.030377021669152862	0.0	0.0	1.922468675236203e-05	4.868836792457143e-06	0.0	0.0018808815242869412	0.00432625363412725	0.0	0.0	1.670580342167058e-05	0.0	0.0	0.0	0.08759866532875854	0.0040605045759708695	0.0	0.0	0.0	0.005188154298209649	0.0	0.0264074475467298	0.0	0.0	0.0	0.0	0.00010253784170494767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011805176747419648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.639908858104975e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064637453874538744	0.011826274429410961	0.0
LC004	0.0006741468119196563	0.05237644214739746	0.0008657444315259888	0.00036478226510497293	0.3352421100173349	0.00033558524141230573	0.0	0.04100179347456168	0.0	0.0	0.0	0.0	0.0	0.0005593967139358134	0.0029176983555875375	0.0005765333163975221	9.405245648249338e-05	0.0	0.0	0.019003504759360076	0.0001126957839779936	0.0	0.0	7.62755415107075e-06	0.0	0.0	2.065802609997861e-06	1.460543797601003e-05	0.0	0.0	0.0006440783051600993	0.0	0.0	0.002315307910588938	0.001803296154153674	0.0	0.0	0.00028883060268858134	0.0	0.0	0.0	0.0028314788455307133	0.006113249857612776	0.0	0.0	0.0	0.020104980211081796	0.0	0.0	0.0	0.004534775097374042	0.0	0.0	6.017446556458995e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16163548153034302	0.0	0.0
LC005	0.0005641279238828936	0.0004237613790134088	0.004646975701526264	0.0034921365430163097	4.9591189691553514e-05	0.20187587576745814	0.0	9.61917942673629e-05	0.0	0.0	0.0	0.0	0.0	0.002628733644582698	0.0014479068082721668	0.003588293690391238	0.006763573447945922	0.0	0.0	0.0011767619259690652	0.0031821892724498316	0.0	0.0001569959404600812	0.000768410721591088	0.0	7.149300857013983e-07	3.2394031379146394e-06	0.0008852360867186824	1.6878632758512754e-06	0.0	3.815372719296941e-05	7.2558616838790486e-06	0.0	6.02956570582378e-06	0.046834064460573255	0.0002266550728813472	0.0	9.927099434659592e-05	0.0	0.0004884821831303564	0.0	0.0004939065356218692	0.008337846536276549	0.0	0.0	0.0	0.002446579461735077	0.0	0.0003873545722621571	0.0	3.605258070751981e-06	0.0	0.0	8.599044489243601e-05	0.0	0.0	0.0	0.0	0.0004832205683355886	0.0	0.0	0.0	0.0	0.0	0.0	1.0319777793604444e-05	6.7600164734953224e-06	0.0	0.0	8.462716330745673e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00019377537212449255	0.0	0.0	0.0	0.0	0.0	0.0	0.011752990527740191	0.0033435799127950684	0.0
LC006	0.0028659169381495472	0.00398906049711719	0.0001832235038508642	0.0005728359584480801	0.0011038357811660867	0.0002835628550101588	0.28019243219254963	0.003624806290034512	0.2753833261215488	0.0	0.21436415848606474	0.0003878644406043997	0.0	0.001224506399182033	7.590506838294449e-05	0.00015360695313155568	0.013865537386174168	0.013579914030918825	0.0	0.0014244882565998282	0.0024206490460051467	0.0002354244048360962	0.001655301222081753	0.0008539548603965151	0.0	0.0016724031465093412	8.837100374710995e-06	0.0	0.0021112374683756917	0.0	0.00591690492398457	0.0015423506705705607	0.0009532602474353895	0.0012626431791617967	0.0006300830204701886	1.0691252509617865e-05	0.0015815421874820657	0.002517674630102487	0.0	0.0	0.0	0.0	0.00038220862084649074	1.4626951579250305e-05	4.191248770894788e-06	0.0	0.0	0.0032171635272984955	0.0	0.0	0.0024295986093552466	0.005238165340160665	0.0	0.0038603756546866535	0.22825710071639274	0.0	0.0	0.0	0.00019360865290068827	0.0014243542388097986	0.0003228811104087653	0.0	0.0	0.007392573746312684	0.000892425732248741	0.005899118149355689	0.005780554540207773	0.00033820058997050147	0.0	0.011750556978730009	0.0	0.0	0.0	9.393663878449912e-05	0.0	0.0	0.003183038348082596	0.0027469902954127654	0.004157522123893805	0.0	0.004385185453842063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027679149200434714	0.0	0.0014380121271714192	0.0007550884955752213	0.0007499392677424953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005862515802781289
LC007	0.0006785388925568999	0.03431043290453856	0.0010215039544220024	0.0004980672568485928	0.034372030060738065	0.00010246221260325955	1.418525431846769e-06	0.26713578857928394	0.0	0.0	0.0	0.0	0.0	0.001357353136770067	0.0018168418632455053	0.0001798102688577282	0.00030908838368931497	0.0	0.0	0.007893535122260426	0.0008482069060149162	0.0	0.0	2.080671913046547e-05	0.0	0.0	5.309026780953943e-06	3.680840301768206e-05	2.272395898022994e-06	0.0	0.00015116254509274236	1.4443986890128673e-05	0.0	0.009398511753085006	0.0008805009311629189	0.0	0.0	4.720891037444445e-06	0.0	0.0	0.0	0.0002598554428560019	0.03194604881244443	0.0	0.0	0.0	0.004709897993592986	0.0	0.0	0.0	0.0006090468964520557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4603945371775418e-05	0.0	1.655139365865346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.997636757133262e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011180394537177542	0.0006535660091047041	0.0
LC008	0.0023989474459258026	0.008095342208560367	0.00011863189754849222	0.00035836427764908565	0.0017837782892053636	2.1048138203642912e-05	0.2574153873891479	0.006880062517053369	0.7356935114788683	0.0	0.13138325978406393	0.00019453331591162215	0.0	0.0006944417911948421	0.0001172357645859223	0.00013712533392237127	0.004624900923272383	0.014614135339992989	0.0	0.0008301094118116839	0.0008704774649305323	0.0012128875460967698	0.001920653177106805	0.0012087420218619322	0.0	3.155993690851735e-05	4.090342313922756e-05	0.0	0.0012551147883291982	0.0	0.0025207034815867622	0.0010345120964431883	0.00122750129478789	0.0008927218617939409	0.00011989652040913871	0.004639329023281477	0.0013565638463710122	0.0008558334684106182	0.0	0.0	0.0	0.0	0.0004293979905223808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031651107856391766	0.002475411185842113	0.0	0.00046020837357024823	0.10891148737097361	0.0	0.0	0.0	0.0	0.00042962007955013034	0.00012309317260027038	0.0	0.0	0.004090471608832807	0.0006952235286620145	0.004062902208201893	0.0007935999862844602	0.001423186119873817	0.0	0.0012685912336045158	0.0	0.0	0.0	0.0	0.0	0.0	0.001206230283911672	0.0	0.0	0.0	0.0003976314836841288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022542752781006139	0.0	0.005418585699263932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007391167192429023	0.0007061288868859847
LC009	0.0007291753920011569	0.00025640376869965476	0.0005698871332448893	0.005960981090507108	3.0470341671954843e-05	0.0073425080077422445	3.92652440162802e-06	0.0002520589068592613	0.0	0.894518958800673	0.0	0.0	0.0	0.0018803478806293811	0.000791690960235264	0.04274874141345595	0.00027992063262173046	0.0	0.0	4.52539657106233e-05	0.0015758593118771883	0.0	5.576853526220615e-06	5.7642773035030905e-06	0.0	0.0006512025316455696	0.0	0.0028377016563425803	0.0011658115230415785	0.0	0.011191575671164277	7.753223377723401e-05	6.564094086529378e-06	0.015088380105087174	0.0014345198623897202	0.0	0.0025992365660247253	0.0005461668834742582	0.8561272597699416	0.0	0.0	1.7280840550743948e-05	0.0008864125494897674	0.0	0.0	0.8132356563396042	0.0	0.0	0.00016534718665398406	0.0	0.00014944714436407474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009116075949367089	0.0	3.680546302465023e-05	0.0	0.0	0.0	0.0004592979680213192	0.0	0.0	0.0	0.0	0.0	0.0	0.00018022151898734178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000327443741209564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
