LeidenCluster	LC000	LC001	LC002	LC003	LC004	LC005	LC006	LC007	LC008	LC009	LC010	LC011	LC012	LC013	LC014	LC015	LC016	LC017	LC018	LC019	LC020	LC021	LC022	LC023	LC024	LC025	LC026	LC027	LC028	LC029	LC030	LC031	LC032	LC033	LC034	LC035	LC036	LC037	LC038	LC039	LC040	LC041	LC042	LC043	LC044	LC045	LC046	LC047	LC048	LC049	LC050	LC051	LC052	LC053	LC054	LC055	LC056	LC057	LC058	LC059	LC060	LC061	LC062	LC063	LC064	LC065	LC066	LC067	LC068	LC069	LC070	LC071	LC072	LC073	LC074	LC075	LC076	LC077	LC078	LC079	LC080	LC081	LC082	LC083	LC084	LC085	LC086	LC087	LC088	LC089	LC090	LC091	LC092	LC093	LC094	LC095	LC096	LC097	LC098	LC099	LC100	LC101	LC102	LC103	LC104	LC105	LC106	LC107	LC108	LC109	LC110	LC111
LC000	0.011018248543036074	0.0	7.995421844342709e-07	0.0024591774543946026	0.0007456795683453237	0.00036900722337110067	0.0	3.748944506366738e-05	0.0011894498296099961	1.2778101218447208e-05	8.007599854834232e-06	5.6016544562515124e-05	0.0012346543442169342	0.0032412554072497627	0.0	0.0001554898363188644	0.00103568807116469	4.336146630398861e-05	6.559573879358051e-05	0.0006944939125622579	0.004737316855087359	0.0	0.0018321092217135383	0.0	0.0	0.0012234507131137196	0.0	6.331888131878603e-06	0.0	0.000444225290908213	0.0	0.00017806997142012418	0.0007371079136690648	0.00021346358884115728	0.0	4.624871531346351e-05	0.001286268808681868	0.0	0.0	0.0020058746145940392	0.0002788272682824614	0.0	0.0	0.002196983854776644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016004389708572126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC001	0.00032494256768498246	0.932601538542323	0.0	0.0011045336588155086	0.0016494838164251206	0.0	0.0	0.0	0.0013341053267226038	7.383066655496914e-05	0.0	0.0	2.3350798959494614e-05	8.09489413921121e-05	0.6810263943056157	0.0	2.738077751664708e-05	0.0	0.0	0.00023737504645113342	3.392167011732229e-05	0.0	0.002698756282633094	0.0	0.0	0.0	0.0	0.0	0.0	0.00099968550400415	0.0	0.0006195147574614519	0.000947794216317767	0.0032649176311125012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000547207893228527	0.0	1.975591151792525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034064009661835754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC002	0.0002690201656856333	0.0	0.72584598989899	5.755161631489401e-05	1.0866666666666667e-06	0.0	0.6089943307529443	0.0	0.00020120215311004782	0.16117830574531442	0.08669091178850823	0.0	7.718414918414918e-06	5.441391406021631e-06	0.0	0.0	3.230343980343981e-05	0.0	0.0	0.00015467948717948717	3.934343434343434e-06	0.06921044393939395	0.0003400650443832262	0.11612950567123752	0.0	0.0	0.0	1.602548665462573e-05	0.0	3.6119585112873706e-06	0.050381521378165206	0.0004996689497716895	0.0	1.1218661434488774e-05	0.0	0.0	0.0	0.059024283864283864	0.520407604493208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17458606549364614	0.0	1.806111967128916e-05	0.0	0.06420640350877194	0.0	0.0	0.0	0.0	0.09722933403805496	0.0	0.03375755244755245	0.0	0.0	0.0	0.0	0.08469549242424243	0.0	0.0977768963831867	0.07095142424242425	0.0	0.18235856060606062	0.0	0.1800213906926407	0.0	0.0762289627039627	0.0	0.0	0.06554611111111111	0.0	0.0	0.02772965564738292	0.13821358126721764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09739219696969698	0.0	0.0	0.0	0.07578111408199643	0.0	0.0	0.0	0.0	0.034745227272727275	0.04206666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.1291458741258741	0.0
LC003	0.0023692971692448775	0.0	0.0	0.11211930554180359	0.01435979229135053	0.0	0.0	0.0	0.0005128915422090887	0.0	1.8193198038571165e-05	1.0710324697321955e-06	0.0014704631259484066	0.0014316480685438817	0.0	1.1573362120764634e-05	0.0	0.0	0.0	0.0001109396521536127	0.0013022217645783654	0.0	0.0003233212243834399	0.0	0.0	0.0	0.0	0.0	0.0	0.005065186218696214	0.0003269493005175962	0.0012625002598374458	0.010377978839993257	0.0034428477855045253	0.0	0.0	0.0021357681129600577	0.0	0.0	1.8470987788134976e-05	0.00044278326973790826	0.0	0.0	0.0006375925468468786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010422370823795685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC004	0.0010286825899280575	0.0	0.0	0.020886420637329286	0.8568136544	0.0	0.0	2.455399061032864e-06	0.0043878363157894736	5.3878612716763e-06	0.0	0.0	5.063384615384615e-06	0.00041376977491961413	0.0	0.0	0.0	0.0	0.0	9.35376923076923e-05	0.0007530864761904762	0.0	0.0005301888888888889	0.0	0.0	0.0	0.0	0.0	0.0	0.018205277852348992	0.0	0.018916683561643836	0.03236681236111111	0.030284064748201438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2176282779661017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC005	0.0010802727696385401	0.0	0.0	0.0006870924539082035	0.0014363481781376518	0.9941046648855086	0.0	0.3234165350402007	0.030655941828254846	0.0	0.0	3.7365821045202987e-06	0.0003928695110557459	0.00013420401733991172	0.0	0.0	0.0	0.39130721377376576	0.0	0.0	0.0006632032003084634	0.0	0.007563944096838834	0.0	0.0	0.0	0.0	0.0	0.0	0.003259170448061299	0.0	5.895263712495147e-05	0.0007139535537561854	0.030370030291556226	0.0	0.0	0.000308028545941124	0.0	0.0	0.0	0.0	0.0	0.0	0.0018440048018077393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006187871406024841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3650506362058994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3519935222672065
LC006	5.038437372372844e-05	0.0	0.6527643532486436	3.4073062931131596e-05	0.0	0.0	0.9656609956903949	0.0	0.00015614513904849462	0.12345387649241486	0.03802481243440063	0.0	0.0	4.904590067257333e-06	0.0	6.289381905571349e-06	0.0	0.0	0.0	5.3200369499496144e-05	0.0	0.05318190938864629	0.0006448833311278726	0.08862483228025664	0.0	0.0	0.0	0.0	0.0	1.865273585182146e-05	0.047166732966441346	7.184303403720763e-05	0.0	2.014074330055606e-05	0.0	0.0	0.0	0.04100006718172657	0.5870992696883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18312691928440625	0.0	0.0	0.0	0.046513793763885695	0.0	0.0	0.0	0.0	0.08081860465116279	0.0	0.003599860038069645	0.0	0.0	0.0	0.0	0.18687854803493448	0.0	0.11828514579518241	0.23760690684133917	0.0	0.1507363537117904	0.0	0.14979405021834064	0.0	0.06950901914679207	0.0	0.0	0.03715065502183406	0.0	0.0	0.01366573044859071	0.0828078999603017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043162445414847164	0.0	0.0	0.0	0.055817775494477265	0.0	0.0	0.0	0.0	0.15244836244541485	0.02502489082969432	0.0	0.0	0.0	0.0	0.0	0.0	0.0317647463889822	0.0
LC007	0.00017937987638058566	0.0	0.0	0.00047019908525508134	0.0005246699530516432	0.5443626522970482	0.0	0.9811928877647732	0.01050003397578453	0.0012815714130641265	0.0	0.0	0.00029610617551462624	0.0003290362755309995	0.0	0.0	0.0	0.8965250095389771	0.0	2.155832430480318e-05	3.132237871674492e-05	0.0	0.000738880589936928	0.0	0.0	0.0	0.0	0.0	0.0	0.0001869096007814223	0.0	6.73652646472442e-05	0.00010203279864371414	0.0030935555780727533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.404138006332569e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007958979867908013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8962835010060363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8674874413145539
LC008	0.0017339426353653918	0.0	0.0	0.0002352136410829806	0.0028329463157894734	0.00012079533347538888	0.0	0.007202594514455152	0.9191392396121884	0.0	0.0003653841949086366	0.0	0.0004269894736842106	0.00043408360128617367	0.0	0.0	0.0	0.0	0.0	0.000538573886639676	0.000184796992481203	0.0	0.023765676501860712	0.0	0.0	0.0	0.0	0.0	0.0	0.007024309431296363	0.0	0.028069810742609946	0.00045909539473684214	8.087845513063234e-06	0.0	0.0	0.0	3.283850652271705e-05	0.0	0.0	0.0	0.0	0.0	6.995104039167687e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037588492417484384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC009	0.00029500582193204975	0.0	0.015602669031354002	6.232380467866008e-05	1.0027745664739885e-05	0.0	0.006691774995582704	0.0	0.0017863713112260418	0.20887902619532894	0.19779109706523046	0.0	0.0	0.0	0.0	3.780889940644761e-05	0.0	0.0	0.0	0.001252492218763895	5.415772089182494e-05	0.1614766343930636	0.0033563102119460496	0.06370778086349985	0.0	0.0	0.0	0.0	0.0	0.0	0.2096165571304141	2.9586665610895557e-05	0.0	0.0	0.0	0.0	0.0	0.19593169556840076	0.012572994319314332	0.0	7.365733206128289e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11945018646280067	0.0	5.905261095326737e-05	0.0	0.24227392759355035	0.0	0.0	0.0	0.0	0.1533866783169781	0.0	0.22344021046390988	0.0	0.0	0.0	0.0	0.12807015895953758	0.0	0.18514986947603954	0.14813425818882464	0.0	0.17066640173410405	0.0	0.28888667423616843	0.0	0.16810347932414407	0.0	0.0	0.20175240847784198	0.0	0.0	0.29188784813452445	0.21166292695743563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34396763005780345	0.0	0.0	0.0	0.18080535532131928	0.0	0.0	0.0	0.0	0.19348063583815028	0.3261070809248555	0.0	0.0	0.0	0.0	0.0	0.0	0.1521684971098266	0.0
