LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33	LC34	LC35	LC36	LC37	LC38	LC39	LC40	LC41	LC42	LC43	LC44	LC45	LC46	LC47	LC48	LC49	LC50	LC51	LC52	LC53	LC54	LC55	LC56	LC57	LC58	LC59	LC60	LC61
LC00	0.015563073811057178	0.0006257734334831109	0.0019361689164320742	0.0018318901974074388	0.0010462465378744449	0.001343309846567765	0.0009392820818556113	0.0016843533660543968	0.001480970991234149	0.0016372427234927235	0.0008410950090361855	0.003693979066599756	0.006848223667238266	0.0	0.007092562158781671	0.0014187493609624758	0.0032526368676368675	0.0001160189775574391	0.0	0.001896019538939893	0.001435007343264224	0.0011405657855657857	0.0	0.013170446020961485	0.01044679899332531	0.003089045190939928	0.003340906625689234	0.0020193689756189755	0.008130797113855937	0.001392041877041877	0.0004048844024747639	0.0031432453222453222	0.0061378375746730185	0.0033030628678516	0.002109797995469637	0.002348189968814969	0.0018450554987843124	0.0132487294987295	0.002575835450835451	0.0029719375484081366	0.020848397869022872	0.0018654146454146453	0.006954726672373731	0.019216735966735968	0.000674948024948025	0.0009496125496125497	0.002785862785862786	0.002553607068607068	0.0012398908523908523	0.0003002754677754678	0.001311954261954262	0.0005737006237006236	0.0009447505197505198	0.0009557744282744285	0.0014626299376299375	0.0009423076923076923	0.0015238825363825363	0.009476522869022869	0.0003556999306999307	0.004177598752598753	0.002436174636174636	0.0001266112266112266
LC01	0.006575687411977734	0.8005514417851775	0.01790855847095745	0.017097277783395693	0.065728034151395	0.0035920138179341217	0.7103986864853469	0.009149599822636072	0.03019513802427215	0.49844845564516127	0.001036888045540797	0.00995315150166852	0.003978623341966878	0.0	0.001961349768336393	0.000314110699806099	0.009958517921146954	1.2715743038323682e-05	0.0	0.28787621467313734	0.0009248337772516524	0.011081537634408603	0.0	0.0002935395189003437	0.006418225240520656	0.004838819920769666	0.0008944086021505376	0.011109284213098728	0.003333540796963946	0.003088570404505888	0.0018281435419095738	0.06396544623655914	0.003150281747652103	0.14193592306527336	0.025698643877387257	0.025723786962365592	0.01951201385092036	6.794902429311031e-05	0.0434394424532059	0.001725553447185326	0.0	0.12946067861409796	0.028424301075268818	0.016866159139784946	0.0008935483870967741	0.0034318328445747804	0.003514408602150538	0.0007055913978494623	0.0005589247311827958	0.002791612903225806	0.002175806451612903	0.000887741935483871	0.0066831720430107515	0.0010408602150537634	0.0026460215053763438	0.0	0.0007377956989247312	0.0	0.841547072879331	0.00178752688172043	0.002366236559139785	0.8457834017595307
LC02	0.0011417737667737667	0.00018193394042290476	0.8331675854490511	0.0	0.000618574448807007	0.0019412901340145922	5.5298339431466364e-05	9.253440536674395e-05	0.010498132292453622	0.0007219004186602871	4.4821277793414014e-05	0.0011619567728097674	0.001402774770369853	0.0	7.293344225308282e-05	0.0	0.0008746810207336523	0.0	0.0	0.0012065418977854935	4.6810938940345024e-05	3.1168831168831166e-05	0.0	0.0	0.009605467136741375	0.0007776580206497104	0.0	4.576718138321009e-05	0.0	0.0033501680337206653	0.0021140629503660574	0.0011675478468899522	0.0007092907758464055	0.0011880955589999326	0.0015367599800042847	0.0036442060406698565	0.009832288541075339	3.388711678185362e-05	0.0006578903065745171	0.0	0.0	0.0014930994152046783	0.03464074021953279	0.0002683444976076555	0.007299760765550239	0.0004423336233144845	0.008342105263157895	0.0005586124401913876	0.0004906698564593301	0.0031267942583732057	0.004954904306220095	0.009971052631578946	0.007318421052631579	0.005815311004784689	0.00595921052631579	0.005330622009569378	0.013504784688995214	0.0	0.0	0.012459583450605124	0.011936602870813396	0.0
LC03	0.009533771075150386	0.012466993629285064	0.0018296455730377524	1.003374573756154	0.03077950093210719	0.0032838990623980484	0.0013256561558792795	0.09327828588048993	0.008633073016920567	0.00942960815047022	0.005976318970639457	0.008792595395092423	0.12410800631535593	0.0	0.0	0.0	0.013725391849529782	0.0	0.0	0.046214275806585846	0.0	0.013040723562152133	0.0	0.013690598843033966	0.0003534730242534235	6.527305725127867e-05	0.0	0.0	0.0	0.011042330944917153	0.05658155757827549	0.0	0.00036256100948375066	0.029208437458607447	0.00914390118373649	0.00042676822100313474	0.0023838797088358748	0.0	0.09090139324277255	0.0	0.0	0.18343977011494253	0.001441591370090356	0.008270532915360502	0.03547562695924765	0.03717740096893702	0.014267711598746081	0.02541371473354232	0.0005862068965517243	0.05888197492163009	0.028634326018808776	0.10309004702194358	0.06834521943573668	0.06891771159874607	0.053717789968652035	0.008169278996865204	0.04686951410658308	0.0	0.022851985370950886	0.0010865203761755487	0.04669960815047022	0.06125055571387859
LC04	0.001480642487619232	0.010057120708748616	0.0017672916434850342	0.0008519772128432915	1.0009386044304145	0.0015333308278588716	0.0034453227802749005	0.02062220913107511	0.007979957646053118	0.009278259966777409	0.0	0.004317433841218925	0.0	0.0	0.0	0.0	0.0001904623477297896	0.0	0.0	0.010579745979478434	0.0	0.0015095701403484982	0.0	0.0	0.0	0.00727381780031474	0.0	0.0005966173361522198	0.0	0.0011116279069767442	0.0	0.03861929401993355	0.00017852306657134448	0.005288947639324318	0.030695324044230678	0.00031363164451827244	0.003539624978883946	0.0	0.0016370062753783684	0.0	0.0	0.0006237873754152823	0.005918966191127614	0.0	0.007234219269102991	0.0005422228933856841	0.0	0.0033597840531561464	9.941860465116279e-05	0.003022923588039867	0.0	0.0	0.0008305647840531562	0.0009282392026578073	0.0	0.0008936877076411961	0.005369767441860465	0.0	0.018150073827980805	0.0006943521594684385	0.0	0.0
LC05	0.0007996323647002381	1.4839682771371574e-06	0.0007335393708458723	0.0001854976666335693	3.0403932592715082e-05	0.8028941278843594	5.418995652559668e-05	0.0	0.0007747320790664443	5.506221719457014e-06	0.0003948717948717949	0.0010827211733499765	3.953496053109621e-05	0.0	0.0	0.0	0.0005400188536953242	0.0	0.0	0.0	9.114118477313297e-05	5.2691845969156896e-05	0.0	0.00014881746513038205	0.0015351655155989522	0.00011929507025482258	0.0	0.0	0.0	0.00044124111182934715	6.278144251212997e-05	9.927601809954751e-05	9.896901311644424e-05	0.0	4.4816640778010404e-05	2.458993212669683e-05	0.000249083518674745	0.0	5.811965811965812e-05	0.008221373436252328	0.0	0.0	0.0006312882619110994	0.0	0.0020552036199095024	0.0	0.0	0.0023185520361990947	0.0	0.002233710407239819	0.002197737556561086	0.003343891402714932	0.002353506787330317	0.0007095022624434389	0.0005895927601809955	0.0	0.0041081447963800906	0.0	0.0	0.0	0.002146153846153846	0.0
LC06	0.01124760823040235	0.699759246257643	0.016573352331363166	0.024437313295224045	0.02608566542896228	0.005990783426492769	0.9387799019607843	0.010741377097230645	0.0018641755532622405	0.39473791360294114	0.0030932698961937716	0.013429071331981067	0.001424760269071132	0.0	0.0	0.0	0.005397512254901961	3.8160717278364336e-05	0.0	0.24007571143501646	0.0002736823169634826	0.05446432573029212	0.0	0.0	2.0077399380804955e-05	0.016113394736842104	0.0001923966325660699	0.06840333667557932	0.0	0.0035565557889822596	0.002982116702102528	0.08206473039215686	5.9456440804169765e-05	0.2722381869649268	0.10955943810359965	0.01246985294117647	0.005361714855433699	0.0	0.0032401143790849675	0.0	0.0	0.1309004248366013	0.03483413350634371	0.017723958823529413	0.01092107843137255	0.007474710338680928	0.0030264705882352937	0.003638235294117647	0.0	0.04616213235294118	0.0	0.012976960784313726	0.0	0.016713235294117647	0.025088480392156862	0.004734191176470589	0.03151372549019608	0.0	0.6837254629629629	0.0010838235294117647	0.0028519607843137252	0.6762882352941176
LC07	0.004296266798122468	0.0014936403946347412	0.0029875948305628174	0.04704108037359015	0.02561558036784601	0.0034250711386854503	0.0003265034364261169	0.8409610559039218	0.00022270452764212943	0.012951691365979382	0.34452610673135237	0.005970266619267685	0.0050493528482203325	0.0	0.0	0.0	0.089776456185567	0.0	0.0	0.02538173524313475	0.0	0.0012193298969072166	0.0	0.007205191837602296	0.0049154639175257725	0.0016505208898534996	0.0	0.00019547797563261482	0.0005513705275924803	0.0007566703485517918	0.2909651223450503	0.005270463917525773	0.00014179825133759624	0.0	0.02322093245114633	0.004143282860824742	0.0010316267691770052	0.0	0.0	0.0	0.0029974012027491406	0.007593585337915235	0.01783411158277744	0.0	0.4203649484536082	0.06159930646672914	0.4463028350515464	0.47157757731958766	0.3843387886597938	0.43182796391752576	0.46454999999999996	0.3997854381443299	0.4257988402061855	0.4293953608247423	0.44891005154639174	0.4392479381443299	0.4561230670103093	0.0	0.0	0.43410573074590664	0.46913956185567013	0.0
LC08	0.0059235607469818	0.00020811293466641516	0.008255239374352947	0.0	0.00016756814516912438	0.008643031409594878	0.00010614895080839355	3.156688973292337e-05	0.9640180841968469	0.00091421783625731	0.00016858922906394524	0.002867654769106675	0.02309296538182439	0.0	4.909903484999762e-05	0.0	0.011435438596491227	2.019793072424651e-05	0.0	0.006982580344666978	0.0034340254305488494	0.0	0.0	0.017162108880448543	0.012547761157279163	0.01987210218528778	0.1593043224002034	4.1826156299840504e-05	0.0019377020983832127	0.0022776385407964356	0.003180159233424928	0.0011885672514619881	0.03303945517802946	0.0067035746643604325	0.0023191149515579997	0.0003155519005847953	0.631513737734166	0.004179954515919428	0.0003979207277452892	0.011477720444903108	0.0007722465886939572	0.007208538011695906	0.008101805985552116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004271929824561403	0.0	0.004142690058479532	0.0	0.0	0.0	0.00887017543859649	0.0	0.0	0.0	0.0	0.0
LC09	0.0070878417359667364	0.4653900846774194	0.021688751495215312	0.017585958072100314	0.04994751245847176	0.009043161764705883	0.40442842524509803	0.02389157860824742	0.03221772295321637	0.51409923046875	0.0018210253267973854	0.03456289224137931	0.002408841240875912	0.0	0.0	8.299180327868853e-06	0.007766171875	0.00020451923076923078	0.0	0.26001158738938057	0.0003415905963302752	0.015260871173469387	0.0	0.00021451675257731957	0.0037588355263157894	0.007078357894736842	0.0009793953804347825	0.009059545454545456	0.00028307352941176476	0.009131376488095238	0.01841559487951807	0.078971265625	0.003210292721518988	0.07236200704225351	0.03590565018656717	0.032113271484375	0.02874486228813559	0.0015277893518518518	0.08351221064814815	0.0	2.6588541666666666e-05	0.22338691666666666	0.031627886029411766	0.0110013975	0.00803625	0.004972840909090909	0.0119278125	0.005309687499999999	0.00555453125	0.00806796875	0.0	0.013615312499999999	0.01020859375	0.01588125	0.00804359375	0.005866875	0.003606875	9.395833333333332e-05	0.5221392708333333	0.005984375	0.014103125	0.5215744318181819
