LeidenCluster,n_structures,helix_mean,helix_std,sheet_mean,sheet_std,loop_mean,loop_std
LC00,360,66.55504550679989,39.70643324448861,2.8771344396344394,13.35861414590171,30.56782005356567,37.86288498933751
LC01,103,99.43365695792879,4.086172802648883,0.0,0.0,0.5663430420711975,4.086172802648884
LC02,315,84.32010582010582,28.032301250044185,0.1984126984126984,2.9017067272638735,15.481481481481483,27.902991003410378
LC03,116,90.80459770114943,27.306174876880807,0.0,0.0,9.195402298850576,27.306174876880807
LC04,235,66.99223235393448,31.202205904936747,0.0,0.0,33.00776764606552,31.20220590493676
LC05,46,15.320910973084887,34.38130477297108,0.0,0.0,84.67908902691512,34.38130477297107
LC06,214,86.46267413790778,20.55289848243759,1.3862928348909658,5.066001425051462,12.151033027201253,19.375624169228214
LC07,59,45.63357546408394,21.838650956483804,1.271186440677966,9.764168323561794,53.095238095238095,21.31308966504977
LC08,177,91.29472693032015,24.942621979829436,0.0,0.0,8.70527306967985,24.942621979829443
LC09,75,14.419047619047621,22.573863967794203,5.0,18.834270087522103,80.58095238095238,26.798695267255283
LC10,102,75.68860877684408,30.388471171674773,0.0,0.0,24.311391223155926,30.388471171674766
LC11,95,78.44565960355435,37.84950042051425,0.5263157894736842,5.129891760425769,21.028024606971975,37.08702795035899
LC12,117,93.44729344729345,22.68572400321663,0.0,0.0,6.552706552706553,22.685724003216635
LC13,103,89.88673139158577,26.44645815634634,0.0,0.0,10.11326860841424,26.44645815634634
LC14,90,57.60846560846561,14.371461542420969,0.0,0.0,42.39153439153439,14.371461542420954
LC15,101,80.16973125884017,30.00516464677947,0.0,0.0,19.83026874115983,30.00516464677947
LC16,100,84.58333333333334,24.685877267698423,0.0,0.0,15.416666666666668,24.685877267698427
LC17,99,83.34634220997857,25.877028712075507,0.0,0.0,16.653657790021427,25.877028712075504
LC18,82,75.5226480836237,37.22032198126299,3.426248548199768,12.181369463788824,21.051103368176538,34.983568255658426
LC19,91,67.15332286760858,37.82974470425229,10.515436944008373,23.13437647366414,22.331240188383045,34.423289467335536
LC20,5,81.66666666666667,17.078251276599325,0.0,0.0,18.333333333333336,17.07825127659933
LC21,84,80.58106575963718,27.44042106364172,0.7936507936507937,7.273929674533079,18.625283446712018,26.008446048616605
LC22,94,47.579787234042556,12.650736813477042,0.0,0.0,52.420212765957444,12.650736813477042
LC23,52,55.954670329670336,42.153857690487115,0.0,0.0,44.045329670329664,42.153857690487115
LC24,2,0.0,0.0,0.0,0.0,100.0,0.0
LC25,84,77.24726001511715,35.955732677212424,0.0,0.0,22.752739984882844,35.955732677212424
LC26,86,35.174418604651166,10.876697733207967,0.0,0.0,64.82558139534883,10.87669773320797
LC27,67,84.60199004975124,25.02257580472656,0.0,0.0,15.398009950248758,25.02257580472656
LC28,75,70.28888888888889,34.06777969891219,0.0,0.0,29.711111111111112,34.06777969891219
LC29,1,0.0,,0.0,,100.0,
LC30,51,85.4216535098888,23.289152624706546,0.0,0.0,14.578346490111198,23.28915262470655
LC31,50,79.71190476190476,33.778662138590036,2.0,14.142135623730946,18.288095238095238,31.869159112833824
LC32,60,68.34920634920634,36.339321230193704,0.0,0.0,31.650793650793652,36.339321230193704
LC33,56,81.48667800453515,34.243853350099066,0.0,0.0,18.513321995464853,34.24385335009906
LC34,40,78.91666666666666,32.65233856364983,0.0,0.0,21.083333333333336,32.65233856364983
