file	hydrophobic	hbond	saltbridge	pistacking	pication	halogen	metal
/Volumes/GigiMurin/plip/saccharo_lipid/BD1foa-A-A-UD11/report.txt	3	14	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1fwy-A-A-UD11/report.txt	2	14	0	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1fwy-B-B-UD11/report.txt	2	12	0	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1g97-A-A-UD11/report.txt	1	13	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hm9-A-A-UD11/report.txt	2	16	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hm9-B-B-UD11/report.txt	2	16	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hv9-A-A-UD11/report.txt	2	11	0	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hv9-B-B-UD11/report.txt	2	15	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hzj-A-A-UD11/report.txt	1	10	2	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1hzj-B-B-UD11/report.txt	2	12	2	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1i3m-A-A-UD11/report.txt	0	7	4	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1i3m-B-B-UD11/report.txt	1	9	3	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1i3n-A-A-UD11/report.txt	1	8	4	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1i3n-B-B-UD11/report.txt	1	7	4	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jv1-A-A-UD11/report.txt	2	13	3	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jv1-A-B-UD11/report.txt	0	0	2	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jv1-B-A-UD11/report.txt	0	0	3	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jv1-B-B-UD11/report.txt	2	13	3	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jvd-A-A-UD11/report.txt	2	12	3	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jvd-A-B-UD11/report.txt	0	0	2	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jvd-B-A-UD11/report.txt	0	1	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1jvd-B-B-UD11/report.txt	2	13	2	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1lrj-A-A-UD11/report.txt	1	12	2	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1lrk-A-A-UD11/report.txt	2	7	3	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1nlm-A-A-UD11/report.txt	2	15	0	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1nlm-B-B-UD11/report.txt	2	10	0	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1on6-A-A-UD11/report.txt	0	16	4	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1on6-B-B-UD11/report.txt	1	14	4	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1t3i-A-C-TU41/report.txt	9	1	1	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1uae-A-A-UD11/report.txt	1	8	2	0	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1vgv-B-B-UD11/report.txt	1	14	3	1	1	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD1vgv-C-C-UD11/report.txt	1	14	2	1	0	0	0
/Volumes/GigiMurin/plip/saccharo_lipid/BD2e59-A-A-LP51/report.txt	12	2	0	0	0	0	0
