protid,LeidenCluster,helix,sheet,loop,total,helix_pct,sheet_pct,loop_pct
BD1a05-A-A-IPM1,LC001,2,0,0,2,100.0,0.0,0.0
BD1a2q-A-A-ACN2,LC001,0,0,2,2,0.0,0.0,100.0
BD1a7p-H-H-ACY1,LC005,0,1,0,1,0.0,100.0,0.0
BD1a82-A-A-DNN1,LC001,0,1,6,7,0.0,14.285714285714286,85.71428571428571
BD1a8s-A-A-PPI1,LC019,1,0,3,4,25.0,0.0,75.0
BD1aca-A-A-PLM1,LC000,11,0,2,13,84.61538461538461,0.0,15.384615384615385
BD1adl-A-A-ACD1,LC041,1,0,2,3,33.333333333333336,0.0,66.66666666666667
BD1adl-A-A-PPI1,LC041,2,2,1,5,40.0,40.0,20.0
BD1al2-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1al4-A-A-POL5,LC029,0,0,1,1,0.0,0.0,100.0
BD1al4-A-A-POL6,LC029,0,0,1,1,0.0,0.0,100.0
BD1al4-B-B-POL1,LC029,0,0,1,1,0.0,0.0,100.0
BD1al4-B-B-POL2,LC029,0,0,1,1,0.0,0.0,100.0
BD1ami-A-A-MIC1,LC001,1,0,5,6,16.666666666666668,0.0,83.33333333333333
BD1apm-E-E-OCT1,LC005,3,0,0,3,100.0,0.0,0.0
BD1aq2-A-A-PYR1,LC000,1,0,1,2,50.0,0.0,50.0
BD1ar6-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1ar7-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1ar8-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1ar9-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1asj-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1aua-A-A-BOG1,LC000,2,1,3,6,33.333333333333336,16.666666666666668,50.0
BD1aua-A-A-BOG2,LC000,3,1,0,4,75.0,25.0,0.0
BD1aym-1-1-DAO1,LC002,0,0,2,2,0.0,0.0,100.0
BD1aym-4-4-MYR1,LC000,0,0,2,2,0.0,0.0,100.0
BD1ayn-1-1-DAO1,LC002,0,0,2,2,0.0,0.0,100.0
BD1ayn-4-4-MYR1,LC000,0,0,2,2,0.0,0.0,100.0
BD1b4e-A-A-SHF1,LC004,2,0,2,4,50.0,0.0,50.0
BD1b4k-A-A-SHF1,LC004,2,0,2,4,50.0,0.0,50.0
BD1b4k-B-B-SHF1,LC004,2,0,2,4,50.0,0.0,50.0
BD1b4w-A-A-BOG1,LC000,2,0,4,6,33.333333333333336,0.0,66.66666666666667
BD1b4w-D-D-BOG1,LC000,3,0,5,8,37.5,0.0,62.5
BD1b56-A-A-PLM1,LC041,2,0,2,4,50.0,0.0,50.0
BD1b6t-B-B-COD1,LC001,3,4,8,15,20.0,26.666666666666668,53.333333333333336
BD1b87-A-A-ACO1,LC014,5,5,7,17,29.41176470588235,29.41176470588235,41.1764705882353
BD1bcc-D-D-BOG1,LC000,4,0,0,4,100.0,0.0,0.0
BD1bdw-A-A-ACY1,LC029,0,0,1,1,0.0,0.0,100.0
BD1bdw-B-B-ACY1,LC029,0,0,1,1,0.0,0.0,100.0
BD1bdw-B-B-ACY3,LC029,0,0,1,1,0.0,0.0,100.0
BD1be0-A-A-ACY1,LC019,1,0,1,2,50.0,0.0,50.0
BD1be2-A-A-PLM1,LC000,12,0,3,15,80.0,0.0,20.0
BD1bev-1-1-MYR1,LC002,0,1,3,4,0.0,25.0,75.0
BD1bez-A-A-ACY1,LC019,2,0,1,3,66.66666666666667,0.0,33.333333333333336
BD1bez-A-A-ACY2,LC019,0,2,1,3,0.0,66.66666666666667,33.333333333333336
BD1bj5-A-A-MYR1,LC011,4,0,1,5,80.0,0.0,20.0
BD1bj5-A-A-MYR2,LC011,6,0,0,6,100.0,0.0,0.0
BD1bj5-A-A-MYR3,LC011,7,0,0,7,100.0,0.0,0.0
BD1bj5-A-A-MYR4,LC011,2,0,0,2,100.0,0.0,0.0
BD1bj5-A-A-MYR5,LC011,7,0,0,7,100.0,0.0,0.0
BD1bke-A-A-MYR1,LC011,5,0,1,6,83.33333333333333,0.0,16.666666666666668
BD1bke-A-A-MYR2,LC011,6,0,0,6,100.0,0.0,0.0
BD1bke-A-A-MYR3,LC011,7,0,0,7,100.0,0.0,0.0
BD1bke-A-A-MYR4,LC011,2,0,0,2,100.0,0.0,0.0
BD1bke-A-A-MYR5,LC011,8,0,0,8,100.0,0.0,0.0
BD1bkv-B-B-ACY1,LC029,0,0,2,2,0.0,0.0,100.0
BD1bkv-B-B-ACY3,LC029,0,0,1,1,0.0,0.0,100.0
BD1bkv-B-B-ACY4,LC029,0,0,2,2,0.0,0.0,100.0
BD1bkv-C-C-ACY1,LC029,0,0,2,2,0.0,0.0,100.0
BD1bl4-A-A-AP11,LC000,0,2,5,7,0.0,28.571428571428573,71.42857142857143
BD1boa-A-A-FUG1,LC000,0,2,3,5,0.0,40.0,60.0
BD1bob-A-A-ACO1,LC014,5,5,6,16,31.25,31.25,37.5
BD1bs1-A-A-DAA1,LC001,0,2,7,9,0.0,22.22222222222222,77.77777777777777
BD1buc-A-A-CAA1,LC000,4,1,6,11,36.36363636363637,9.090909090909092,54.54545454545455
BD1bvr-A-A-THT1,LC007,1,0,4,5,20.0,0.0,80.0
BD1c0n-A-A-ACY1,LC001,0,0,3,3,0.0,0.0,100.0
BD1c1j-A-A-BOG1,LC000,2,0,5,7,28.571428571428573,0.0,71.42857142857143
BD1c1j-B-B-BOG1,LC000,3,0,5,8,37.5,0.0,62.5
BD1c4o-A-A-BOG1,LC001,1,0,1,2,50.0,0.0,50.0
BD1c4o-A-A-BOG2,LC001,2,0,2,4,50.0,0.0,50.0
BD1c9y-A-A-NVA1,LC007,0,0,2,2,0.0,0.0,100.0
BD1cay-A-A-ACY1,LC000,0,0,2,2,0.0,0.0,100.0
BD1caz-A-A-ACY1,LC000,0,0,2,2,0.0,0.0,100.0
BD1cbx-A-A-BZS1,LC002,0,2,2,4,0.0,50.0,50.0
BD1cdk-A-A-MYR1,LC005,2,0,0,2,100.0,0.0,0.0
BD1cdk-B-B-MYR1,LC005,4,0,0,4,100.0,0.0,0.0
BD1cea-A-A-ACA1,LC000,0,0,1,1,0.0,0.0,100.0
BD1cea-A-A-ACA1,LC000,0,0,1,1,0.0,0.0,100.0
BD1chw-A-A-HXC1,LC015,6,1,6,13,46.15384615384615,7.6923076923076925,46.15384615384615
BD1ci1-B-B-HEX1,LC001,1,0,0,1,100.0,0.0,0.0
BD1ci1-B-B-HEX2,LC001,0,0,1,1,0.0,0.0,100.0
BD1ci1-B-B-HEX3,LC001,1,0,0,1,100.0,0.0,0.0
BD1cjw-A-A-COT1,LC014,3,5,9,17,17.647058823529413,29.41176470588235,52.94117647058823
BD1cls-D-D-DEC1,LC000,2,0,0,2,100.0,0.0,0.0
BD1cmk-E-E-MYR1,LC005,7,0,1,8,87.5,0.0,12.5
BD1cml-A-A-MLC1,LC015,9,0,4,13,69.23076923076923,0.0,30.76923076923077
BD1cov-1-1-PLM1,LC002,0,2,1,3,0.0,66.66666666666667,33.333333333333336
BD1cov-4-4-MYR1,LC000,0,0,3,3,0.0,0.0,100.0
BD1cqe-A-A-BOG1,LC026,0,1,1,2,0.0,50.0,50.0
BD1cqe-A-A-BOG2,LC026,1,0,0,1,100.0,0.0,0.0
BD1cqe-B-B-BOG1,LC026,1,0,0,1,100.0,0.0,0.0
BD1cqe-B-B-BOG2,LC026,1,0,2,3,33.333333333333336,0.0,66.66666666666667
BD1csc-A-A-CMC1,LC000,0,0,14,14,0.0,0.0,100.0
BD1ctp-E-E-MYR1,LC005,4,0,0,4,100.0,0.0,0.0
BD1cvu-A-A-ACD1,LC026,6,0,0,6,100.0,0.0,0.0
BD1cvu-A-A-ACD1,LC026,6,0,0,6,100.0,0.0,0.0
BD1cvu-A-A-BOG1,LC026,2,0,0,2,100.0,0.0,0.0
BD1cvu-A-A-BOG1,LC026,2,0,0,2,100.0,0.0,0.0
BD1cvu-A-A-BOG2,LC026,0,0,2,2,0.0,0.0,100.0
BD1cvu-A-A-BOG2,LC026,0,0,2,2,0.0,0.0,100.0
BD1cvu-A-A-BOG3,LC026,2,0,6,8,25.0,0.0,75.0
BD1cvu-A-A-BOG3,LC026,2,0,6,8,25.0,0.0,75.0
BD1cvu-B-B-ACD1,LC026,6,0,0,6,100.0,0.0,0.0
BD1cvu-B-B-ACD1,LC026,6,0,0,6,100.0,0.0,0.0
BD1cvu-B-B-BOG1,LC026,3,0,0,3,100.0,0.0,0.0
BD1cvu-B-B-BOG1,LC026,3,0,0,3,100.0,0.0,0.0
