protid,LeidenCluster,helix,sheet,loop,total,helix_pct,sheet_pct,loop_pct
BD1sqx-C-C-UQ21,LC033,4,0,1,5,80.0,0.0,20.0
BD1tno-B-B-MGM1,LC003,2,0,0,2,100.0,0.0,0.0
BD1tnz-J-J-MGM1,LC003,2,0,0,2,100.0,0.0,0.0
BD1vf5-R-R-BCR1,LC011,4,0,0,4,100.0,0.0,0.0
BD1wpg-A-A-TG11,LC003,12,0,2,14,85.71428571428571,0.0,14.285714285714286
BD1x0i-1-1-RET1,LC004,9,0,0,9,100.0,0.0,0.0
BD1yf6-L-L-U102,LC001,1,0,1,2,50.0,0.0,50.0
BD1yrd-A-A-CAM1,LC031,1,0,0,1,100.0,0.0,0.0
BD1zdw-A-A-GST1,LC020,0,3,0,3,0.0,100.0,0.0
BD2acl-A-A-REA1,LC003,7,0,2,9,77.77777777777777,0.0,22.22222222222222
BD2axt-B-B-BCR2,LC005,5,0,0,5,100.0,0.0,0.0
BD2axt-h-h-BCR1,LC027,2,0,0,2,100.0,0.0,0.0
BD2bcg-G-G-GER2,LC013,10,0,0,10,100.0,0.0,0.0
BD2bnp-B-B-U101,LC001,6,0,4,10,60.0,0.0,40.0
BD2bxg-A-A-IBP2,LC000,4,0,3,7,57.142857142857146,0.0,42.857142857142854
BD2cp4-A-A-CAM1,LC031,1,0,0,1,100.0,0.0,0.0
BD2ei4-A-A-RET1,LC004,9,0,0,9,100.0,0.0,0.0
BD2g79-A-A-RET1,LC036,2,0,2,4,50.0,0.0,50.0
BD2gnu-M-M-U101,LC001,6,0,4,10,60.0,0.0,40.0
BD2hg3-M-M-U101,LC001,6,0,4,10,60.0,0.0,40.0
BD2hit-L-L-U101,LC001,9,0,3,12,75.0,0.0,25.0
BD2i35-A-A-RET1,LC052,7,1,1,9,77.77777777777777,11.11111111111111,11.11111111111111
BD2jag-A-A-RET1,LC004,7,0,0,7,100.0,0.0,0.0
BD2jj0-L-L-U101,LC001,7,0,2,9,77.77777777777777,0.0,22.22222222222222
BD2m3g-A-A-RET1,LC004,13,0,0,13,100.0,0.0,0.0
BD2o01-A-A-PQN1,LC048,2,0,7,9,22.22222222222222,0.0,77.77777777777777
BD2olv-A-A-M0E1,LC020,3,0,6,9,33.333333333333336,0.0,66.66666666666667
BD2q80-C-C-GRG1,LC029,5,0,0,5,100.0,0.0,0.0
BD2r42-A-A-FPS1,LC000,3,0,7,10,30.0,0.0,70.0
BD2uwu-M-M-U101,LC001,8,0,3,11,72.72727272727273,0.0,27.272727272727273
BD2ux3-M-M-SPO1,LC001,7,0,5,12,58.333333333333336,0.0,41.666666666666664
BD2uxj-M-M-U101,LC001,7,0,4,11,63.63636363636363,0.0,36.36363636363637
BD3cwb-P-P-UQ1,LC033,1,1,1,3,33.333333333333336,33.333333333333336,33.333333333333336
BD3dst-B-B-GRG1,LC003,1,0,0,1,100.0,0.0,0.0
BD3dta-M-M-SPN1,LC001,8,0,5,13,61.53846153846154,0.0,38.46153846153846
BD3du2-M-M-U101,LC001,7,0,3,10,70.0,0.0,30.0
BD2w4q-A-A-CBW2,LC013,2,0,3,5,40.0,0.0,60.0
BD2wjm-M-M-MQ71,LC001,7,0,3,10,70.0,0.0,30.0
BD2wsc-A-A-PQN1,LC048,3,0,5,8,37.5,0.0,62.5
BD2wse-3-3-BCR1,LC000,0,0,3,3,0.0,0.0,100.0
BD2wse-B-B-PQN1,LC065,3,0,5,8,37.5,0.0,62.5
BD2wsf-A-A-BCR2,LC048,2,0,0,2,100.0,0.0,0.0
BD2wsf-B-B-PQN1,LC065,3,0,5,8,37.5,0.0,62.5
BD2x34-A-A-UQ81,LC020,2,4,2,8,25.0,50.0,25.0
BD2z73-A-A-RET1,LC052,7,1,2,10,70.0,10.0,20.0
BD2ziy-A-A-RET1,LC052,6,1,2,9,66.66666666666667,11.11111111111111,22.22222222222222
BD2zuj-A-A-CAM1,LC031,1,0,0,1,100.0,0.0,0.0
BD3a0b-k-k-BCR1,LC011,5,0,0,5,100.0,0.0,0.0
BD3a0h-C-C-BCR2,LC007,3,0,1,4,75.0,0.0,25.0
