file	hydrophobic	hbond	saltbridge	pistacking	pication	halogen	metal
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a05-A-A-IPM1/report.txt	0	1	5	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a05-A-B-IPM1/report.txt	1	2	1	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a05-B-A-IPM1/report.txt	1	1	1	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a05-B-B-IPM1/report.txt	1	2	5	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a0q-H-H-HEP1/report.txt	3	3	0	1	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a0r-B-G-FAR1/report.txt	8	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a0r-G-G-FAR1/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a2q-A-A-ACN1/report.txt	2	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a2q-A-A-ACN2/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a3i-A-A-ACY1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a3i-C-C-ACY1/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a7p-H-H-ACY1/report.txt	0	0	1	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a82-A-A-DNN1/report.txt	1	3	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1a8s-A-A-PPI1/report.txt	1	3	1	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1aa5-A-A-ACY1/report.txt	0	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1aca-A-A-PLM1/report.txt	9	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1adl-A-A-ACD1/report.txt	4	0	1	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1adl-A-A-PPI1/report.txt	0	3	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1al2-4-4-MYR1/report.txt	2	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Fatty_acyl/BD1al4-A-A-POL1/report.txt	0	1	0	0	0	0	0
