file	hydrophobic	hbond	saltbridge	pistacking	pication	halogen	metal
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1a8a-A-A-GSE1/report.txt	0	5	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1a8b-A-A-GPE1/report.txt	0	2	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bcc-C-C-PEE1/report.txt	9	2	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bcc-C-E-PEE1/report.txt	2	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bcc-D-E-PEE1/report.txt	2	0	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bcc-E-E-PEE1/report.txt	3	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bp1-A-A-PC11/report.txt	12	2	2	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1bp1-A-A-PC12/report.txt	21	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1dc4-A-A-G3P1/report.txt	0	6	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1dsy-A-A-PSF1/report.txt	0	3	3	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-A-A-PLC1/report.txt	3	1	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-A-B-PLC1/report.txt	2	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-B-B-PLC1/report.txt	1	0	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-B-C-PLC1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-C-A-PLC1/report.txt	1	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ein-C-C-PLC1/report.txt	1	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ewf-A-A-PC11/report.txt	18	1	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ewf-A-A-PC12/report.txt	24	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1ex9-A-A-OCP1/report.txt	5	3	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1eys-H-H-PEF1/report.txt	2	1	2	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1eys-M-H-PEF1/report.txt	4	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1fdj-B-B-G3P1/report.txt	0	3	1	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1gzm-A-A-PEF1/report.txt	6	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1gzm-B-B-PEF1/report.txt	3	0	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1gzq-A-A-PII1/report.txt	10	1	0	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1hfa-A-A-PIO1/report.txt	0	0	6	0	0	0	0
/Volumes/GigiMurin/plip/Glycerophospholipid/BD1hg4-A-A-LPP1/report.txt	12	2	1	0	0	0	0
