protid,LeidenCluster,helix,sheet,loop,total,helix_pct,sheet_pct,loop_pct
BD1foa-A-A-UD11,LC05,3,3,6,12,25.0,25.0,50.0
BD1fwy-A-A-UD11,LC07,1,5,10,16,6.25,31.25,62.5
BD1fwy-B-B-UD11,LC07,1,5,11,17,5.882352941176471,29.41176470588235,64.70588235294117
BD1g97-A-A-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD1hm9-A-A-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD1hm9-B-B-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD1hv9-A-A-UD11,LC07,1,6,8,15,6.666666666666667,40.0,53.333333333333336
BD1hv9-B-B-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD1hzj-A-A-UD11,LC02,1,3,2,6,16.666666666666668,50.0,33.333333333333336
BD1hzj-B-B-UD11,LC02,2,5,6,13,15.384615384615385,38.46153846153846,46.15384615384615
BD1i3m-A-A-UD11,LC02,1,2,4,7,14.285714285714286,28.571428571428573,57.142857142857146
BD1i3m-B-B-UD11,LC02,1,2,3,6,16.666666666666668,33.333333333333336,50.0
BD1i3n-A-A-UD11,LC02,1,2,3,6,16.666666666666668,33.333333333333336,50.0
BD1i3n-B-B-UD11,LC02,1,2,3,6,16.666666666666668,33.333333333333336,50.0
BD1jv1-A-A-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD1jv1-B-B-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD1jvd-A-A-UD11,LC09,0,6,9,15,0.0,40.0,60.0
BD1jvd-B-B-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD1lrj-A-A-UD11,LC02,2,2,7,11,18.181818181818183,18.181818181818183,63.63636363636363
BD1lrk-A-A-UD11,LC02,2,2,4,8,25.0,25.0,50.0
BD1nlm-A-A-UD11,LC04,5,0,5,10,50.0,0.0,50.0
BD1nlm-B-B-UD11,LC04,6,0,6,12,50.0,0.0,50.0
BD1on6-A-A-UD11,LC05,0,2,7,9,0.0,22.22222222222222,77.77777777777777
BD1on6-B-B-UD11,LC05,0,2,8,10,0.0,20.0,80.0
BD1uae-A-A-UD11,LC01,6,0,6,12,50.0,0.0,50.0
BD1vgv-B-B-UD11,LC04,5,0,5,10,50.0,0.0,50.0
BD1vgv-C-C-UD11,LC04,6,0,5,11,54.54545454545455,0.0,45.45454545454545
BD2e59-A-A-LP51,LC12,0,2,0,2,0.0,100.0,0.0
BD2fnu-A-A-UD11,LC00,0,1,2,3,0.0,33.333333333333336,66.66666666666667
BD2fnu-B-B-UD11,LC00,0,1,2,3,0.0,33.333333333333336,66.66666666666667
BD2gn4-A-A-UD11,LC02,1,3,7,11,9.090909090909092,27.272727272727273,63.63636363636363
BD2gn4-B-B-UD11,LC02,1,4,6,11,9.090909090909092,36.36363636363637,54.54545454545455
BD2gn6-A-A-UD11,LC02,0,1,9,10,0.0,10.0,90.0
BD2gn6-B-B-UD11,LC02,0,3,6,9,0.0,33.333333333333336,66.66666666666667
BD2iu8-B-B-UD11,LC06,0,1,5,6,0.0,16.666666666666668,83.33333333333333
BD2iu9-B-B-UD11,LC06,0,2,4,6,0.0,33.333333333333336,66.66666666666667
BD2iu9-C-C-UD11,LC06,0,2,3,5,0.0,40.0,60.0
BD2jf3-A-A-UD11,LC06,0,0,3,3,0.0,0.0,100.0
BD2oi5-A-A-UD11,LC07,1,5,9,15,6.666666666666667,33.333333333333336,60.0
BD2oi5-B-B-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD2oi6-A-A-UD11,LC07,1,5,9,15,6.666666666666667,33.333333333333336,60.0
BD2oi6-B-B-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD2oi7-A-A-UD11,LC07,1,6,9,16,6.25,37.5,56.25
BD2oi7-B-B-UD11,LC07,2,5,12,19,10.526315789473685,26.31578947368421,63.1578947368421
BD2poc-A-A-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2poc-B-B-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2poc-C-C-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2poc-D-D-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2put-A-A-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2put-B-B-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2put-C-C-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2put-D-D-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2puv-A-A-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2puv-B-B-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2puv-C-C-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2puv-D-D-UD11,LC11,1,7,4,12,8.333333333333334,58.333333333333336,33.333333333333336
BD2qia-A-A-U201,LC06,0,4,7,11,0.0,36.36363636363637,63.63636363636363
BD2rl1-A-A-UD11,LC01,6,0,8,14,42.857142857142854,0.0,57.142857142857146
BD2rl2-A-A-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD2v0i-A-A-UD11,LC07,2,4,9,15,13.333333333333334,26.666666666666668,60.0
BD2yqj-A-A-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD2yqj-B-B-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD2yqs-A-A-UD11,LC09,0,5,10,15,0.0,33.333333333333336,66.66666666666667
BD3beo-A-A-UD11,LC04,3,0,8,11,27.272727272727273,0.0,72.72727272727273
BD3beo-B-B-UD11,LC04,3,0,8,11,27.272727272727273,0.0,72.72727272727273
BD3d8v-A-A-UD11,LC07,2,5,11,18,11.11111111111111,27.77777777777778,61.111111111111114
BD3dj4-A-A-UD11,LC07,2,6,12,20,10.0,30.0,60.0
BD3kqj-A-A-UD11,LC01,5,0,8,13,38.46153846153846,0.0,61.53846153846154
BD3kr6-A-A-UD11,LC01,5,0,8,13,38.46153846153846,0.0,61.53846153846154
BD3lth-A-A-UD11,LC01,6,0,8,14,42.857142857142854,0.0,57.142857142857146
BD3mu3-A-A-LP51,LC12,0,1,2,3,0.0,33.333333333333336,66.66666666666667
BD3mu3-B-B-LP51,LC12,0,2,2,4,0.0,50.0,50.0
BD3q8x-D-D-UD11,LC00,2,0,4,6,33.333333333333336,0.0,66.66666666666667
BD3rgy-A-A-LP51,LC00,3,3,10,16,18.75,18.75,62.5
BD3rt4-C-C-LP51,LC00,2,0,5,7,28.571428571428573,0.0,71.42857142857143
BD3s2u-A-A-UD11,LC04,6,0,6,12,50.0,0.0,50.0
BD3spt-A-A-UD11,LC07,2,6,11,19,10.526315789473685,31.57894736842105,57.89473684210526
BD3st8-A-A-UD11,LC07,2,6,11,19,10.526315789473685,31.57894736842105,57.89473684210526
BD3swa-A-A-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3swa-B-B-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3upk-A-A-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3v4t-A-A-UD11,LC01,6,0,6,12,50.0,0.0,50.0
BD3v4t-B-B-UD11,LC01,6,0,6,12,50.0,0.0,50.0
BD3v4t-C-C-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3v4t-D-D-UD11,LC01,6,0,6,12,50.0,0.0,50.0
BD3v4t-E-E-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3v4t-F-F-UD11,LC01,5,0,6,11,45.45454545454545,0.0,54.54545454545455
BD3v4t-G-G-UD11,LC01,5,0,7,12,41.666666666666664,0.0,58.333333333333336
BD3v4t-H-H-UD11,LC01,6,0,7,13,46.15384615384615,0.0,53.84615384615385
BD3vcy-A-A-UD11,LC01,5,0,7,12,41.666666666666664,0.0,58.333333333333336
BD3vcy-B-B-UD11,LC01,5,0,6,11,45.45454545454545,0.0,54.54545454545455
BD3vcy-C-C-UD11,LC01,5,0,6,11,45.45454545454545,0.0,54.54545454545455
BD3vcy-D-D-UD11,LC01,5,0,6,11,45.45454545454545,0.0,54.54545454545455
BD3vps-A-A-UD11,LC02,2,5,5,12,16.666666666666668,41.666666666666664,41.666666666666664
BD3vps-B-B-UD11,LC02,2,5,4,11,18.181818181818183,45.45454545454545,36.36363636363637
BD3vq1-C-C-LP51,LC12,0,1,3,4,0.0,25.0,75.0
BD3vq1-D-D-LP51,LC12,0,1,2,3,0.0,33.333333333333336,66.66666666666667
BD3vq2-C-C-LP51,LC12,0,1,3,4,0.0,25.0,75.0
BD3vq2-D-D-LP51,LC12,0,1,3,4,0.0,25.0,75.0
BD4fkz-A-A-UD11,LC04,3,0,8,11,27.272727272727273,0.0,72.72727272727273
BD4fkz-B-B-UD11,LC04,3,0,8,11,27.272727272727273,0.0,72.72727272727273
BD4g3p-A-A-UD11,LC07,2,5,13,20,10.0,25.0,65.0
BD4g3q-A-A-UD11,LC07,2,6,12,20,10.0,30.0,60.0
BD4g3s-A-A-UD11,LC07,2,5,13,20,10.0,25.0,65.0
BD4g87-A-A-UD11,LC07,2,5,13,20,10.0,25.0,65.0
BD4g8a-C-C-LP51,LC12,0,2,1,3,0.0,66.66666666666667,33.333333333333336
BD4g8a-D-D-LP51,LC12,0,2,2,4,0.0,50.0,50.0
BD4gf9-C-C-LP51,LC00,0,0,7,7,0.0,0.0,100.0
BD4ggm-X-X-LP51,LC00,3,2,6,11,27.272727272727273,18.181818181818183,54.54545454545455
BD4guw-A-A-LP51,LC00,4,2,3,9,44.44444444444444,22.22222222222222,33.333333333333336
BD4gz5-A-A-UD11,LC10,6,0,9,15,40.0,0.0,60.0
BD4gz5-B-B-UD11,LC10,6,0,9,15,40.0,0.0,60.0
BD4gz5-C-C-UD11,LC10,7,0,8,15,46.666666666666664,0.0,53.333333333333336
BD4gz5-D-D-UD11,LC10,6,0,9,15,40.0,0.0,60.0
BD4hoc-A-A-UD11,LC09,0,5,8,13,0.0,38.46153846153846,61.53846153846154
BD4hoc-B-B-UD11,LC09,0,5,8,13,0.0,38.46153846153846,61.53846153846154
BD4j6e-A-A-UDG1,LC00,6,4,14,24,25.0,16.666666666666668,58.333333333333336
BD4lkv-A-A-LP51,LC00,0,0,2,2,0.0,0.0,100.0
BD4lkv-C-C-LP51,LC00,0,0,2,2,0.0,0.0,100.0
BD4mdt-A-A-24G1,LC13,1,1,8,10,10.0,10.0,80.0
BD4mdt-B-B-24G1,LC13,1,1,8,10,10.0,10.0,80.0
BD4mdt-C-C-24G1,LC13,1,1,7,9,11.11111111111111,11.11111111111111,77.77777777777777
BD4mdt-D-D-24G1,LC13,1,1,10,12,8.333333333333334,8.333333333333334,83.33333333333333
BD4mix-A-A-UD11,LC05,4,0,5,9,44.44444444444444,0.0,55.55555555555556
BD4mix-B-B-UD11,LC05,3,0,5,8,37.5,0.0,62.5
BD4n3c-A-A-UD11,LC10,6,0,8,14,42.857142857142854,0.0,57.142857142857146
BD4nes-A-A-UD11,LC04,3,0,5,8,37.5,0.0,62.5
BD4oug-C-C-LP51,LC00,0,0,7,7,0.0,0.0,100.0
BD4oze-A-A-24G1,LC13,1,4,8,13,7.6923076923076925,30.76923076923077,61.53846153846154
BD4oze-B-B-24G1,LC13,1,4,8,13,7.6923076923076925,30.76923076923077,61.53846153846154
BD4r37-A-A-UD11,LC06,0,0,3,3,0.0,0.0,100.0
BD4r7u-A-A-UD11,LC01,5,0,6,11,45.45454545454545,0.0,54.54545454545455
BD4r7u-B-B-UD11,LC01,5,0,7,12,41.666666666666664,0.0,58.333333333333336
BD4r7u-C-C-UD11,LC01,5,0,7,12,41.666666666666664,0.0,58.333333333333336
BD4r7u-D-D-UD11,LC01,5,0,7,12,41.666666666666664,0.0,58.333333333333336
BD4wad-A-A-UD11,LC04,2,2,10,14,14.285714285714286,14.285714285714286,71.42857142857143
BD4wy2-A-A-U201,LC00,6,0,3,9,66.66666666666667,0.0,33.333333333333336
BD4x7m-B-B-UD11,LC04,3,2,14,19,15.789473684210526,10.526315789473685,73.6842105263158
BD5b49-A-A-LP51,LC14,12,0,4,16,75.0,0.0,25.0
BD5b49-B-B-LP51,LC14,10,0,3,13,76.92307692307692,0.0,23.076923076923077
BD5b4a-A-A-LP51,LC14,12,0,4,16,75.0,0.0,25.0
BD5b4a-B-B-LP51,LC14,12,0,5,17,70.58823529411765,0.0,29.41176470588235
BD5b4b-A-A-LP51,LC14,11,0,5,16,68.75,0.0,31.25
BD5b4b-B-B-LP51,LC14,11,0,4,15,73.33333333333333,0.0,26.666666666666668
BD5bjv-A-A-UD11,LC02,1,3,7,11,9.090909090909092,27.272727272727273,63.63636363636363
